Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
Hashihime of the Old Book Town append,Visual novel,HuneX,HuneX,"December 16, 2021",
A Hat in Time,Action-adventure,Gears for Breakfast,Humble Bundle,"October 18, 2019",
Hatch Tales,"Adventure, platformer",Atooi,Atooi,TBA,
Hatsune Miku: Project Diva Mega Mix,Rhythm,Sega AM2,Sega,"February 13, 2020",
Hatsune Miku: Tsunageru Puzzle Tamagotori,Puzzle,Crypton Future Media,Crypton Future Media,"January 27, 2022",
Hatsune Miku Logic Paint S,Puzzle,Crypton Future Media,Crypton Future Media,"March 18, 2021",
Haven,"Adventure, role-playing",The Game Bakers,The Game Bakers,"February 4, 2021",
Hayfever,Platformer,Pixadome,Pixadome,"February 25, 2020",
Headball Soccer Deluxe,Sports,Cool Small Games,Cool Small Games,"June 28, 2019",
Headliner: NoviNews,Simulation,Unbound Creations,Unbound Creations,"September 5, 2019",
Headsnatchers,Party,IguanaBee,Iceberg Interactive,"November 7, 2019",
Heart&Slash,"Brawler, roguelike",Aheartfulofgames,BadLand Games,"December 21, 2017",
Heart of the Woods,Visual novel,"Studio Elan, Ratalaika Games",Sekai Games,"July 8, 2021",
HeatWave,"Survival, strategy",Perimeter Games,Perimeter Games,2022,
Heave Ho,Adventure,Le Cartel,Devolver Digital,"August 29, 2019",
Heaven Dust,Survival horror,One Gruel Studio,Indienova,"February 27, 2020",
Heaven's Vault,Adventure,Inkle,Inkle,"January 28, 2021",
Helheim Hassle,"Action, adventure, platformer, puzzle",Perfectly Paranormal,Perfectly Paranormal,"August 18, 2020",
Hell Is Other Demons,Platformer,Cuddle Monster Games,Kongregate,"April 18, 2019",
Hell Pie,Platformer,Sluggerfly,Headup Games,"July 21, 2022",
Hell Warders,"Action role-playing, tower defense",Anti Gravity Game Studios,PQube,"February 21, 2019",
Hellblade: Senua's Sacrifice,Action-adventure,Ninja Theory,Ninja Theory,"April 11, 2019",
Hellmut: The Badass from Hell,"Action, arcade",Grindstone,NA: 2tainmentPAL: Grindstone,"May 3, 2019",
Hello Kitty Kruisers,Racing,Scarab Entertainment,Rising Star Games,"April 24, 2018",
Hello Neighbor,Stealth,Dynamic Pixels,TinyBuild,"July 27, 2018",
Hello Neighbor: Hide and Seek,Stealth,Dynamic Pixels,TinyBuild,"December 7, 2018",
Hellpoint,Action role-playing,Cradle Games,TinyBuild,"February 25, 2021",
Help Me Doctor,Simulation,"IceTorch Interactive, Angry Angel Games",Ultimate Games,"February 10, 2020",
Her Majesty's Ship,"Action, adventure, simulation",Every Single Soldier,Ultimate Games,"September 15, 2020",
Her Majesty's Spiffing,"Adventure, point and click",Billy Goat Entertainment,Billy Goat Entertainment,"February 1, 2018",
Hero Must Die. Again,Role-playing,"Pyramid, G-Mode",Degica Games,"February 27, 2020",
Hero Pop,"Action, puzzle, simulation, strategy",Digital Game Group,Digital Game Group,"June 4, 2021",
Heroes of the Monkey Tavern,Dungeon crawler,Monkey Stories,JP: Rainy FrogWW: Monkey Stories,"November 7, 2017",
Heroes Trials,"Adventure, role-playing",Shinyuden,Ratalaika Games,"January 25, 2019",
Heroine Anthem Zero Episode 1,Adventure,WindThunder Studio,Winking,"May 23, 2019",
Heroland,Role-playing,Netchubiyori,JP: FuRyuNA: Xseed GamesPAL: Marvelous Europe,"October 4, 2018",
Hexagroove: Tactical DJ,Puzzle,iNiS,Ichigoichie,"October 3, 2019",
Hexologic,Puzzle,MythicOwl,MythicOwl,"June 12, 2018",
Hextech Mayhem: A League of Legends Story,Rhythm,Choice Provisions,Riot Forge,"November 16, 2021",
Hidden Folks,Puzzle,Adriaan de Jongh,Adriaan de Jongh,"October 31, 2018",
Hidden Objects Collection,Puzzle,,Solutions 2 Go Inc,"October 6, 2020",
Hidden Objects Collection Volume 2,Puzzle,,Solutions 2 Go Inc,"January 17, 2022",
Hidden Objects Collection Volume 3,Puzzle,,Solutions 2 Go Inc,"February 11, 2022",
Hidden Paws,Puzzle,Manic Hyena,Silesia Games,"January 27, 2022",
Hidden Paws Mystery,Puzzle,Manic Hyena,Silesia Games,"October 27, 2022",
Higurashi no Naku Koro ni Hou,Visual novel,07th Expansion,Entergram,"July 26, 2018",
Himehibi: Princess Days,Visual novel,Takuyo,Takuyo,"September 10, 2020",
Himehibi: Another Princess Days ~White or Black~,Visual novel,Takuyo,Takuyo,"December 10, 2020",
Hindsight 20/20: Wrath of the Raakshasa,Action role-playing,Triple-I Games,Triple-I Games,"September 9, 2021",
Hiragana Pixel Party,Music,Springloaded,Springloaded,"December 15, 2017",
History 2048,Puzzle,Run-Down Games,Run-Down Games,"March 1, 2019",
Hitman 3: Cloud Version,Stealth,IO Interactive,IO Interactive,"January 20, 2021",
Hix: Puzzle Islands,Puzzle,Gamedia,Gamedia,"September 2, 2021",
Hoa,Platform-adventure,Skrollcat Studio,Skrollcat Studio,"August 21, 2021",
Hob: The Definitive Edition,Adventure,"Runic Games, Panic Button",Perfect World Entertainment,"April 3, 2019",
Hogwarts Legacy,Action role-playing,Avalanche Software,Portkey Games,"November 14, 2023",
A Hole New World,Platformer,Mad Gear Games,Dolores Entertainment,"March 1, 2018",
Hollow,Action,MMEU,Forever Entertainment,"February 22, 2018",
Hollow Knight,Metroidvania,Team Cherry,Team Cherry,"June 12, 2018",
Hollow Knight: Silksong,Metroidvania,Team Cherry,Team Cherry,TBA,
Holy Potatoes! A Weapon Shop?!,Simulation,Daylight Studios,Rising Star Games,"July 12, 2018",
Holy Potatoes! We're in Space?!,Simulation,Daylight Studios,Rising Star Games,"January 17, 2019",
Home Escape,Action,Pat-o-logic Studio,Pat-o-logic Studio,"June 21, 2019",
Home Sheep Home: Farmageddon Party Edition,"Adventure, puzzle",Aardman Animations,JP: Greenlight GamesWW: Aardman Animations,"October 18, 2019",
The Hong Kong Massacre,Top-down shooter,Vreski,Untold Tales,"December 26, 2020",
Hook,Puzzle,Rainbow Train,Rainbow Train,"March 14, 2019",
Horace,"Metroidvania, platform game","Paul Helman, Sean Scapelhorn",505 Games,"October 21, 2020",
Horgihugh with Friends,Shoot 'em up,PiXEL,PiXEL,"June 3, 2021",
Horizon Chase Turbo,Racing,Aquiris Game Studio,Aquiris Game Studio,"July 30, 2019",
Horned Knight,Action platformer,Josep Monzonis Hernandez,JP: EastAsiaSoftWW: 2Awesome Studios,"February 26, 2021",
Hot Gimmick: Axes-jong,Adventure,Zerodiv,Zerodiv,"July 4, 2019",
Hot Gimmick: Cosplay-jong,Adventure,Zerodiv,Zerodiv,"July 5, 2018",
Hot Springs Story,Simulation,Kairosoft,Samsung Electronics,"October 11, 2018",
Hot Wheels Unleashed,Racing,Milestone,JP: Koch MediaWW: Milestone,"September 30, 2021",
Hotel Life: A Resort Simulator,Business simulation,RingZero Game Studio,Nacon,"August 26, 2021",
Hotel Sowls,Adventure,CFK,CFK,"July 30, 2020",
Hotel Transylvania 3: Monsters Overboard,Action,Torus Games,NA: Outright GamesPAL: Bandai Namco Entertainment,"July 10, 2018",
Hotel Transylvania: Scary-Tale Adventures,Platformer,Drakhar Studio,Outright Games,October 2021,
Hotline Miami Collection,Action,Dennaton Games,Devolver Digital,"August 19, 2019",
Hototogisu Tairan 1553: Ryuuko Aiutsu,Turn-based strategy,Granzella,Granzella,"April 26, 2018",
Hotshot Racing,Racing,Lucky Mountain Games,Curve Digital,"September 10, 2020",
The House of the Dead 2,"Rail shooter, light gun shooter",Forever Entertainment,Forever Entertainment,TBA,
The House of the Dead: Remake,"Rail shooter, light gun shooter",MegaPixel Studios,Forever Entertainment,"April 7, 2022",
How To Take Off Your Mask Remastered,Visual novel,Roseverte,Ratalaika Games,"February 4, 2021",
Hue,Platformer,Fiddlesticks Games,JP: Digital BardsWW: Curve Digital,"June 6, 2019",
Human: Fall Flat,Puzzle,No Brakes Games,JP: TeyonWW: Curve Digital,"December 7, 2017",
Human Resource Machine,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"March 16, 2017",
Human Rocket Person,Platformer,2nd Studio,2nd Studio,"June 27, 2019",
Hungry Baby: Party Treats,Party,Digital Melody,QubicGames,"May 24, 2019",
Hungry Shark World,"Arcade, Action",Ubisoft,Ubisoft,"July 17, 2018",
Huntdown,"Arcade, shooter",Easy Trigger Games,Coffee Stain Publishing,"May 12, 2020",
Hunter Shooting Camp,"Action, arcade",Pix Arts,Pix Arts,"July 23, 2021",
Hyper Jam,Action,Bit Dragon,Bit Dragon,"April 17, 2020",
Hyper Light Drifter,Action role-playing,Heart Machine,Abylight,"September 6, 2018",
Hyper Sentinel,Shoot 'em up,Four5six Games,JP: EastAsiaSoftWW: Huey Games,"May 11, 2018",
HyperBrawl Tournament,"Brawler, sports",Milky Tea Studios,Milky Tea Studios,"October 20, 2020",
Hypercharge: Unboxed,First-person shooter,Digital Cybercherries,Digital Cybercherries,"January 31, 2020",
Hyperforma,"Action, puzzle",Nord Unit,HeroCraft,"September 5, 2019",
Hyperlight Ultimate,Shoot 'em up,CatfishBlues Games,CatfishBlues Games,"July 9, 2019",
HyperParasite,Twin-stick shooter,Troglobytes Games,JP: EastAsiaSoftNA: Houndpicked GamesPAL: QubicGames,"April 2, 2020",
Hypnospace Outlaw,Simulation,Tendershoot,No More Robots,"August 27, 2020",
Hyrule Warriors: Age of Calamity,Hack and slash,"Koei Tecmo, Omega Force",Nintendo,"November 20, 2020",
Hyrule Warriors: Definitive Edition,Hack and slash,"Omega Force, Team Ninja",Nintendo,"March 22, 2018",
I-Chu,"Visual novel, rhythm",OperaHouse,D3 Publisher,2022
I Am Dead,Adventure,Hollow Ponds,Annapurna Interactive,"October 8, 2020",
I Am Setsuna,Role-playing,Tokyo RPG Factory,Square Enix,"March 3, 2017",
I Am the Hero,Beat 'em up,Crazyant,Ratalaika Games,"November 22, 2018",
I and Me,"Puzzle, platformer",Wish Fang,Ratalaika Games,"July 6, 2017",
I Hate Running Backwards,Shoot 'em up,"Binx Interactive, Croteam Incubator",Devolver Digital,"October 19, 2018",
I Wanna Fly,Action,Ultimate Games,Ultimate Games,"February 20, 2019",
"I, Zombie",Strategy,Awesome Game Studio,Awesome Game Studio,"March 8, 2018",
Ibb & Obb,Puzzle,Sparpweed,Sparpweed,"March 5, 2020",
Ice Age: Scrat's Nutty Adventure,Platformer,Just Add Water,Outright Games,"October 18, 2019",
Ice Cream Surfer,Platformer,Dolores Entertainment,Dolores Entertainment,"May 17, 2018",
Icewind Dale: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019",
Icey,Side-scroller,X.D. Network,X.D. Network,"May 31, 2018",
Iconoclasts,"Action, platformer",Joakim Sandberg,Bifrost Entertainment,"August 2, 2018",
IdolDays,Visual novel,Qureate,Qureate,"June 17, 2021",
Idol Manager,Simulation,Glitch Pitch,Playism,"August 25, 2022",
If Found...,Adventure,Dreamfeel,Annapurna Interactive,"October 22, 2020",
If My Heart Had Wings,Visual novel,Pulltop,MoeNovel,"September 5, 2019",
Ikai,Psychological horror,Endflame,PM Studios,"March 29, 2022",
Ikaruga,Shoot 'em up,Treasure,Nicalis,"May 29, 2018",
Ikenfell,Tactical role-playing,Happy Ray Games,Humble Games,"October 8, 2020",
Illmatic Envelope Swamp,Shoot 'em up,RS34,RS34,"October 14, 2021",
Illusion of L'Phalcia,Role-playing,Exe Create,Kemco,"August 1, 2019",
Immortal Planet,Action role-playing,Teedoubleu Games,Monster Couch,"December 6, 2019",
Immortal Realms: Vampire Wars,Turn-based strategy,Palindrome,Kalypso Media,"August 28, 2020",
Immortals Fenyx Rising,Action-adventure,Ubisoft Quebec,Ubisoft,"December 3, 2020",
Implosion: Never Lose Hope,Action,"Rayark, Esquadra",Flyhigh Works,"July 5, 2017",
In Other Waters,Adventure,Jump Over The Age,Fellow Traveller,"April 3, 2020",
Inazuma Eleven: Victory Road,"Role-playing, sports",Level-5,Level-5,2023,
Inbento,Puzzle,Afterburn,7Levels,"March 12, 2020",
In Celebration of Violence,Roguelike,Julian Edison,Dolores Entertainment,"November 26, 2020",
The Incredible Adventures of Super Panda,Platformer,Chaos Rift Entertainment,Ultimate Games,"February 14, 2020",
Incredible Mandy,Action-adventure,Dotoyou Games,Circle Entertainment,"November 7, 2019",
Indie Pogo,Fighting,Lowe Bros. Studios,Lowe Bros. Studios,TBA,
Indiecalypse,"Action, adventure, fighting",JanduSoft,JanduSoft,"May 29, 2020",
Indigo 7: Quest for love,Puzzle,Dolores Entertainment,Dolores Entertainment,"July 8, 2021",
Indivisible,"Action role-playing, platformer",Lab Zero Games,JP: Spike ChunsoftWW: 505 Games,"April 28, 2020",
Inertial Drift,Racing,Level 91 Entertainment,PQube,"September 11, 2020",
Infected Maze,First-person shooter,Masatoko Games,Masatoko Games,TBA,
The Infectious Madness of Doctor Dekker,FMV adventure,D'Avekki Studios,Wales Interactive,"June 5, 2018",
Infernax,Action-adventure,Berzerk Studio,The Arcade Crew,2022,
Infernium,Survival,Carlos Coronado,Undercoders,"April 5, 2018",
Infinite: Beyond the Mind,Platformer,Emilie Coyo,Blowfish Studios,"May 7, 2020",
Infinite Minigolf,Miniature golf,Zen Studios,Zen Studios,"July 28, 2017",
Infliction: Extended Cut,Survival horror,Caustic Reality,Blowfish Studios,"July 2, 2020",
Inked: A Tale of Love,Puzzle adventure,Somnium Games,Pixmain,"August 26, 2021",
Inksplosion,Action,Petite Games,Ratalaika Games,"April 18, 2018",
Inkulinati,Turn-based strategy,Yaza Games,Yaza Games,2021,
Inmost,Platformer,Hidden Layer Games,Chucklefish,"August 21, 2020",
The Inner World: The Last Wind Monk,Adventure,Studio Fizbin,Headup Games,"July 18, 2018",
InnerSpace,Adventure,PolyKnight Games,Aspyr,"January 16, 2018",
Inops,Platformer,ZRZStudio,ZRZStudio,"January 26, 2019",
In Rays of the Light,Action-adventure,Sergey Noskov,Sometimes You,"March 17, 2021",
Inside,Platformer,Playdead,Playdead,"June 28, 2018",
In Sound Mind,Psychological horror,We Create Stuff,Modus Games,2022,
Inspector Waffles,Adventure,Goloso,Hitcents,"October 14, 2021",
Instant Sports Summer Games,"Arcade, party, sports",Break First,Plug In Digital,"July 30, 2020",
Into the Breach,Turn-based strategy,Subset Games,Subset Games,"August 28, 2018",
Into the Dead 2,First-person shooter,Pikpok,Versus Evil,"October 25, 2019",
Inuwashi: Urabure Tantei to Ojou-sama Keiji no Ikebukuro Jiken File,Visual novel,Orange,Orange,"March 26, 2020",
Inversus Deluxe,Action,Hypersect,Hypersect,"September 28, 2017",
Invisible Fist,Strategy,Failcore,Pineapple Works,"January 6, 2020",
"Invisible, Inc.","Turn-based tactics, stealth",Klei Entertainment,Klei Entertainment,"June 15, 2020",
Ion Fury,First-person shooter,Voidpoint,3D Realms,"May 14, 2020",
Iris.Fall,Puzzle adventure,NExT Studios,PM Studios,"January 7, 2021",
Iris and the Giant,"Role-playing, strategy",Louis Rigaud,Plug In Digital,"November 5, 2020",
Iro Hero,Shoot 'em up,Artax Games,EastAsiaSoft,"June 7, 2018",
Iron Crypticle,"Role-playing, shooter",Tikipod,Confused Pelican,"February 13, 2019",
Ironcast,Turn-based strategy,Dreadbit,Ripstone,"August 10, 2017",
Irony Curtain: From Matryoshka with Love,"Adventure, puzzle",Artifex Mundi,Artifex Mundi,"June 27, 2019",
Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combat,Action role-playing,5pb.,5pb.,"November 28, 2019",
Ise Shima Mystery Guide: The False Black Pearl,Visual novel,Happymeal,Flyhigh Works,"January 24, 2019",
Island,Visual novel,Frontwing,Prototype,"April 8, 2021",
Islanders,City-building game,Grizzly Games,Coatsink,"August 11, 2021",
Island Flight Simulator,Simulation,Caipirinha Games,Joindots,"January 25, 2018",
Island Saver,Adventure,Stormcloud Games,National Wetminster Bank,"May 13, 2020",
Issho ni Asobo Koupen-chan,Party,Neos Corporation,Neos Corporation,"September 24, 2020",
"It Came From Space, and Ate Our Brains",Adventure,Triangle Studios,All In! Games,"January 28, 2020",
It's Raining Fists and Metal,Rhythm,Corvostudio di Amadei Marco,Corvostudio di Amadei Marco,"January 20, 2020",
It's Spring Again,Edutainment,Baba Yaga Games,Sometimes You,"April 17, 2018",
It Takes Two,"Action-adventure, platformer",Hazelight Studios,Electronic Arts,"November 4, 2022",
Itta,Adventure,Glass Revolver,Armor Games Studios,"April 22, 2020",
Ittle Dew,Role-playing,Ludosity,Nicalis,"August 15, 2019",
Ittle Dew 2+,Role-playing,Ludosity,Nicalis,"March 19, 2020",
IxShe Tell,Visual novel,Hooksoft,Entergram,"January 30, 2020",
Jack Jeanne,Simulation,Broccoli,Broccoli,"March 18, 2021"
Jack Move,Role-playing,So Romantic,HypeTrain Digital,"September 8, 2022",
The Jackbox Party Pack,Party,Jackbox Games,Jackbox Games,"August 17, 2017",
The Jackbox Party Pack 2,Party,Jackbox Games,Jackbox Games,"August 17, 2017",
The Jackbox Party Pack 3,Party,Jackbox Games,Jackbox Games,"April 13, 2017",
The Jackbox Party Pack 4,Party,Jackbox Games,Jackbox Games,"October 19, 2017",
The Jackbox Party Pack 5,Party,Jackbox Games,Jackbox Games,"October 17, 2018",
The Jackbox Party Pack 6,Party,Jackbox Games,Jackbox Games,"October 17, 2019",
The Jackbox Party Pack 7,Party,Jackbox Games,Jackbox Games,"October 15, 2020",
The Jackbox Party Pack 8,Party,Jackbox Games,Jackbox Games,"October 14, 2021",
The Jackbox Party Pack 9,Party,Jackbox Games,Jackbox Games,"October 20, 2022",
The Jackbox Party Starter,Party,Jackbox Games,Jackbox Games,"June 30, 2022",
Jamestown+,Shoot 'em up,Final Form Games,Final Form Games,"December 12, 2019",
Jang-Navi Mahjong Online,Board game,Winlight,Winlight,"February 8, 2018",
J.B. Harold Murder Club,Visual novel,Riverhillsoft,Mebius,"August 10, 2017",
Japanese Rail Sim: Journey to Kyoto,Simulation,Sonic Powered,Sonic Powered,"November 28, 2019",
JDM Racing,Racing,Starkom,Nikita Alexeevich,"December 19, 2019",
Jelly Champs!,"Action, fighting, party, sports",Art Games Studio,Art Games Studio,"September 3, 2020",
Jenny LeClue: Detectivú,Adventure,Mografi,Mografi,"August 26, 2020",
Jeopardy!,Puzzle,Ubisoft,Ubisoft,"October 30, 2018",
Jetboard Joust,Shoot 'em up,BitBull,Freedom Games,"May 18, 2021",
Jet Kave Adventure,Platformer,7Levels,JP: Circle EntertainmentWW: 7Levels,"September 17, 2019",
Jet Lancer,Shoot 'em up,Code Wakers,Armor Games Studios,"May 12, 2020",
Jets 'n' Guns,Adventure,Rake in Grass,Rake in Grass,"December 16, 2019",
Jets 'n' Guns 2,Adventure,Rake in Grass,Rake in Grass,"August 26, 2020",
Jettomero: Hero of the Universe,Puzzle,Ghost Time Games,Ghost Time Games,"October 4, 2018",
Jewel Wars,Action-adventure,Tom Create,Tom Create,"January 23, 2020",
JigSaw Abundance,Puzzle,Playstige Interactive,Playstige Interactive,"March 26, 2020",
JigSaw Solace,Puzzle,Playstige Interactive,Playstige Interactive,"December 3, 2019",
Jikkyou Powerful Pro Baseball,Sports,Konami,Konami,"June 27, 2019",
Jinki Resurrection,Visual novel,Giga,Entergram,"February 25, 2021",
Jisei: The First Case HD,Visual novel,Sakevisual,Ratalaika Games,"July 24, 2020",
Joe Dever's Lone Wolf,Role-playing,Reply Forge,Reply Forge,"February 16, 2018",
Joggernauts,Action,Space Mace,Graffiti Games,"October 11, 2018",
John Wick Hex,"Action, strategy",Bithell Games,Good Shepherd Entertainment,"December 4, 2020",
JoJo's Bizarre Adventure: All Star Battle R,Fighting,CyberConnect2,Bandai Namco Entertainment,"September 1, 2022",
Jotun: Valhalla Edition,Action-adventure,Thunder Lotus Games,Thunder Lotus Games,"April 27, 2018",
Journey of the Broken Circle,Adventure,Lovable Hat Cult,JP: Rainy FrogWW: Nakana,"September 18, 2020",
The Journey Down: Chapter One,"Action, puzzle",Skygoblin,BlitWorks,"June 21, 2018",
The Journey Down: Chapter Two,"Action, puzzle",Skygoblin,BlitWorks,"July 5, 2018",
The Journey Down: Chapter Three,"Action, puzzle",Skygoblin,BlitWorks,"June 28, 2018",
Journey to the Savage Planet,"Adventure, metroidvania",Typhoon Studios,JP: H2 InteractiveWW: 505 Games,"May 21, 2020",
A Juggler's Tale,"Adventure, platformer, puzzle",Kaleidoscube,Mixtvision Games,"September 29, 2021",
Juiced!,Platformer,TimothyvanderHoeven,TimothyvanderHoeven,"October 8, 2020",
Juicy Realm,Roguelike,SpaceCan Studio,X.D. Network,"November 7, 2019",
Jumanji: The Video Game,Adventure,Funsolve,Outright Games,"November 8, 2019",
Jump Force,Fighting,Spike Chunsoft,Bandai Namco Entertainment,"August 27, 2020",
Jump King,Adventure,Nexile,JP: PikiiWW: Ukiyo Publishing,"June 9, 2020",
Jump Rope Challenge,Exergaming,Nintendo EPD,Nintendo,"June 15, 2020",
Jumping Joe & Friends,Adventure,"QubicGames, Vixa Games",QubicGames,"May 25, 2018",
Jurassic Pinball,Pinball,EnjoyUp Games,EnjoyUp Games,"May 25, 2018",
Jurassic World Evolution,Business simulation,Frontier Developments,Frontier Developments,"November 3, 2020",
Just Dance 2017,Rhythm,Ubisoft Paris,Ubisoft,"March 3, 2017",
Just Dance 2018,Rhythm,Ubisoft Paris,Ubisoft,"October 24, 2017",
Just Dance 2019,Rhythm,Ubisoft Paris,Ubisoft,"October 23, 2018",
Just Dance 2020,Rhythm,Ubisoft Paris,Ubisoft,"November 5, 2019",
Just Dance 2021,Rhythm,Ubisoft Paris,Ubisoft,"November 12, 2020",
Just Dance 2022,Rhythm,Ubisoft Paris,Ubisoft,"November 4, 2021",
Just Dance 2023 Edition,Rhythm,Ubisoft Paris,Ubisoft,"November 22, 2022",
Just Die Already,Action-adventure,DoubleMoose,Curve Digital,"May 20, 2021",
Just Glide,"Party, action",Cool Small Games,Cool Small Games,"January 23, 2020",
Just Ignore Them,Adventure,Stranga Games,Ratalaika Games,"October 18, 2019",
Just Shapes & Beats,Rhythm,Berzserk Studio,Berzserk Studio,"May 31, 2018",
Jydge,Twin-stick shooter,10tons,10tons,"October 19, 2017",
Kaiji: Steel Beam Crossing of Despair,Action,Solid Sphere,Solid Sphere,"December 28, 2017"
Kaleidoscope of Phantom Prison,Visual novel,07th Expansion,Entergram,TBA,
Kamen Rider: Climax Scramble Zi-O,Action,Bandai Namco Studios,Bandai Namco Entertainment,"November 29, 2018",
Kamen Rider: Memory of Heroez,Action,Bandai Namco,Bandai Namco,"October 29, 2020",
Kamiko,Action,Skipmore,Flyhigh Works,"April 13, 2017",
Kaminazo: Mirai kara no Omoi de,Puzzle,Gift Ten Industry,DelightWorks,"November 28, 2019",
Kamiwaza: Way of the Thief,Stealth action,Acquire,JP: AcquireWW: NIS America,"October 11, 2022",
Kanon,Visual novel,Key,Prototype,"April 20, 2023",
Kansei: The Second Turn HD,Visual novel,Sakevisual,Ratalaika Games,"January 14, 2022",
Kao the Kangaroo,Platformer,Tate Multimedia,Tate Multimedia,"May 27, 2022",
Katamari Damacy Reroll,Action,Bandai Namco Studios,Bandai Namco Entertainment,"December 7, 2018",
Katana Kami: A Way of the Samurai Story,Action role-playing,Acquire,Spike Chunsoft,"February 20, 2020",
Katana Zero,Hack and slash,Askiisoft,Devolver Digital,"April 18, 2019",
Kathy Rain,Point-and-click adventure,Clifftop Games,Raw Fury,"October 26, 2021",
Kawaii Deathu Desu,Beat 'em up,"Pippin Games, Top Hat Studios",EastAsiaSoft,"April 16, 2020",
Kaze and the Wild Masks,Platformer,PixelHive,Soedesco,"March 26, 2021",
Keen: One Girl Army,"Puzzle, adventure",Cat Nigiri,Phoenixx,"July 2, 2020",
Keep Talking and Nobody Explodes,Puzzle,Steel Crate Games,Steel Crate Games,"August 16, 2018",
Keiji J.B. Harold no Jikenbo: Manhattan Requiem,Visual novel,Mebius,Mebius,"October 26, 2017",
Keiken Zero na Classmate,Visual novel,Prekano,Entergram,"October 28, 2021",
Kentucky Route Zero: TV Edition,Adventure,Cardboard Computer,Annapurna Interactive,"January 28, 2020",
Kero Blaster,Platformer,Studio Pixel,Playism,"August 23, 2018",
KeyWe,Puzzle,Stonewheat & Sons,JP: Game Source EntertainmentWW: Sold Out,"August 31, 2021",
Kholat,Survival horror,Imgn Pro,Imgn Pro,"May 14, 2020",
Kid Tripp,Platformer,Four Horses,JP: Rainy FrogWW: Four Horses,"November 23, 2017",
The Kids We Were: Complete Edition,Adventure,Gagex,Gagex,"January 26, 2022",
#killallzombies,Shooter,Beatshapers,Beatshapers,"January 24, 2019",
Kill It With Fire,Simulation,Case Donnella Games,tinyBuild,"March 4, 2021",
Kill la Kill: If,Fighting,A+ Games,WW: Arc System WorksPAL: PQube,"July 25, 2019",
Killer Queen Black,Platformer,Bumblebear Games,Bumblebear Games,"October 11, 2019",
Kimi wa Yukima ni Koinegau,Visual novel,Idea Factory,JP: Idea FactoryWW: Aksys Games,"July 29, 2021",
Kine,Puzzle,Gwen Frey,Gwen Frey,"October 17, 2019",
King of the Hat,Fighting,Hyroglyphik Games,Hyroglyphik Games,TBA,
King Lucas,Adventure,Hidden Trap,Hidden Trap,"February 21, 2020",
King Oddball,Puzzle,10tons,10tons,"October 30, 2017",
King of Fighters R-2,Fighting,Code Mystics,SNK,"August 6, 2020",
King of Seas,Action role-playing,3DClouds,Team17,"May 25, 2021",
