Battle B-Daman NA• B-Densetsu! Battle B-Daman Moero! B-Kon JP,N/A,2004 (JP)2006 (NA),Atlus,Atlus,"NA, JP"
Battle B-Daman: Fire Spirits! NA• B-Densetsu! Battle B-Daman Honoo Tamashii JP,N/A,2005 (JP)2006 (NA),Atlus,Atlus,"NA, JP"
Battle x Battle: Kyoudai Uo Densetsu,N/A,2003,Starfish,,JP
BattleBots: Beyond the BattleBox,Yes,2002 (NA)2003 (PAL),Cave Barn,Majesco Entertainment NASierra Entertainment PAL,"NA, PAL"
BattleBots: Design & Destroy,Yes,2003,Cave Barn,Majesco Entertainment,NA
BB Ball,N/A,2004,Micott & Basara,Micott & Basara,JP
Beast Shooter: Mezase Beast King,Yes (SPM),2002,Hudson Soft,Konami,JP
"The Bee Game NA, PAL• Die Biene Maja: Klatschmohnwiese in Gefahr DE",N/A,2007,Independent Arts,Midway,"NA, PAL"
The Berenstain Bears and the Spooky Old Tree,N/A,2005,Program-Ace,Namco,NA
Best Play Pro Yakyuu(Best Play Pro Baseball),N/A,2002,ParityBit,Enterbrain,JP
Beyblade: G-Revolution,N/A,2004,Full Fat,Atari,"NA, PAL"
Beyblade VForce: Ultimate Blader Jam,N/A,2003,Full Fat,Atari,"NA, PAL"
Bibi Blocksberg: Der Magische Hexenkreis DE,N/A,2005,Morgen Studios,Kiddinx,PAL
Bibi und Tina: Ferien auf dem Martinshof DE,N/A,2006,Morgen Studios,Kiddinx,PAL
The Bible Game,N/A,2005,Crave,Crave,NA
Big Mutha Truckers,No,2005,Raylight Studios,Destination Games NAZoo Digital Publishing PAL,"NA, PAL"
Bionicle,N/A,2003,Möbius Entertainment,THQ,"NA, PAL"
Bionicle Heroes,N/A,2006,Amaze Entertainment,Eidos Interactive,"NA, PAL"
Bionicle: Matoran Adventures,N/A,2002,Argonaut Games,Electronic Arts,"NA, PAL"
Bionicle: Maze of Shadows,N/A,2005,Razorback Developments,THQ,"NA, PAL"
bit Generations: Boundish,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Coloris,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Dialhex,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Digidrive,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Dotstream,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Orbital,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
bit Generations: Soundvoyager,N/A,2006,SkipNot DigidriveQ-GamesDigidrive,Nintendo,JP
Black Belt Challenge,Yes,2002,Lost Boys,THQ NAXicat Interactive PAL,"NA, PAL"
Black Black,N/A,2002,Capcom,Capcom,JP
Black Matrix Zero,No,2002,Flight-Plan,NEC Interchannel,JP
Blackthorne,N/A,2003,Mass Media Inc.,Blizzard Classic Arcade,"NA, PAL"
Blades of Thunder,N/A,2005,InterActive Vision Games,Summitsoft Entertainment,NA
Bleach Advance: Kurenai ni Somaru Soul Society,N/A,2005,Alpha Unit,Sega,JP
Blender Bros.,Yes (SPM),2002,A.I.,Infogrames,NA
BMX Trick Racer,N/A,2003,Hypnotix,Simon & Schuster Interactive,NA
Board Game Classics NA• Board Game Classics: Chess & Draughts & Backgammon PAL,N/A,2005,Black Lantern Studios,DSI Games NAZoo Digital Publishing PAL,"NA, PAL"
Bobobo-bo Bo-bobo: 9 Kiwame Senshi Gyagu Yuugou,N/A,2004,,Hudson Soft,JP
Bobobo-bo Bo-bobo: Backutou Hajike Taisen,N/A,2004,,Hudson Soft,JP
Bobobo-bo Bo-bobo: Majide!!? Shinken Shoubu,N/A,2003,Rokumendo,Hudson Soft,JP
Bobobo-bo Bo-bobo: Ougi 87.5 Bakuretsu Hanage Shinken,N/A,2002,,Hudson Soft,JP
"Boktai: The Sun is in Your Hand NA, PAL• Bokura no Taiyō JP",N/A,2003 (JP/NA)2004 (PAL),Hideo Kojima Production,Konami,"NA, JP, PAL"
"Boktai 2: Solar Boy Django NA, PAL• Zoku Bokura no Taiyō Taiyō Shōnen Jango JP",N/A,2004 (JP/NA)2005 (PAL),Hideo Kojima Production,Konami,"NA, JP, PAL"
Boku no Kabuto Kuwagata,N/A,2003,,MTO,JP
Boku no Kabuto Mushi,N/A,2001,,MTO,JP
