Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
Baseball Riot,"Puzzle, sports",10tons,10tons,"January 19, 2018",
Bash The Bear,"Adventure, Arcade, Puzzle, Strategy",FuryLion,FuryLion Group,"January 16, 2019",
Basketball,"Sports, Arcade, Action",Sabec,Sabec,"November 28, 2018",
Basketball Club Story,"Simulation, Sports, Strategy",Kairosoft,Kairosoft,"June 3, 2021",
Basketball Pinball,"Arcade, Simulation, Sports, Action",Super PowerUp Games,SuperPowerUpGames,"June 4, 2021",
Bass Pro Shops: The Strike Championship Edition,Sports,Saber Interactive,Planet Entertainment,"October 23, 2018",
Bastion,Puzzle,Supergiant Games,Supergiant Games,"September 13, 2018",
Bat Boy,"Adventure, platform",Sonzai Games,X Plus Games,2022,
Batbarian: Testament of the Primordials,"Adventure, Puzzle, Action, Role-playing",Dangen Entertainment,Dangen Entertainment,"October 15, 2020",
Baten Kaitos I & II HD Remaster,"Adventure, Role-playing, card battle, turn-based role playing game",Monolith Soft,Bandai Namco,TBA (Summer 2023),
Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,Warner Bros. Games,Fall 2023,
Batman: Arkham City,Action-adventure,Rocksteady Studios,Warner Bros. Games,Fall 2023,
Batman: Arkham Knight,Action-adventure,Rocksteady Studios,Warner Bros. Games,Fall 2023,
Batman: The Enemy Within,Adventure,Telltale Games,Telltale Games,"October 2, 2018",
Batman: The Telltale Series,Adventure,Telltale Games,Telltale Games,"November 14, 2017",
Batora: Lost Haven,Action role-playing,Stormind Games,Team17,2022,
BATS: Bloodsucker Anti-Terror Squad,Action,Ritual Games,The Media Indie Exchange,"October 20, 2021",
Battery Jam,Action,Halseo,Halseo,"November 22, 2018",
Battle & Crash,Arcade,Sims,Starsign,"July 18, 2019",
Battle Axe,Action-adventure,Henk Nieborg,JP: ToyboxWW: Numskull Games,"April 29, 2021",
Battle Brothers,"Adventure, Action, Strategy, Role-playing",Ukiyo Publishing,Ukiyo Publishing,"March 11, 2021",
Battle Calculator,"Puzzle, Party",Blacksmith DoubleCircle,Blacksmith DoubleCircle,"August 5, 2021",
Battle Chasers: Nightwar,Role-playing,Airship Syndicate,THQ Nordic,"May 15, 2018",
Battle Chef Brigade,Action role-playing,Trinket Studios,Adult Swim Games,"November 20, 2017",
Battle for Blood,"Puzzle, Board game, Strategy",YFC Games,YFC Games,"January 22, 2021",
Battle Group 2,Strategy,Merge Games,Merge Games,"October 11, 2018",
Battle Hunters,Role-playing,Phase Two,Phase Two,"November 5, 2020",
Battle of Archers,"Arcade, Fighting, Party",Gametry,Gametry,"October 14, 2021",
Battle of Kings,"Strategy, Party",Wenkly Studio,Wenkly Studio,"September 17, 2020",
The Battle of Mahjong,"Board game, Puzzle, Strategy",Kusone Studio,Kusone Studio,"September 5, 2019",
Battle Planet: Judgement Day,"Arcade, Action",Threaks,Wild River Games,"October 17, 2019",
Battle Princess Madelyn,Platformer,Causal Bit Games,Causal Bit Games,"December 20, 2018",
Battle Princess Madelyn Royal Edition,Platformer,Causal Bit Games,Causal Bit Games,"April 9, 2020",
Battle Spirits: Connected Battlers,Card battle,FuRyu,FuRyu,"April 14, 2022",
Battle Supremacy,"Action, Simulation, Arcade",Atypical Games,Atypical Games,"August 2, 2018",
Battle Supremacy: Evolution,"Simulation, Arcade, Action",Atypical Games,Atypical Games,"September 12, 2019",
Battle Supremacy: Ground Assault,"Simulation, Action",Atypical Games,Atypical Games,"September 5, 2019",
Battle Worlds: Kronos,Turn-based strategy,King Art,THQ Nordic,"June 11, 2019",
Battleground,"Arcade, Board game",Sabec,Sabec,"January 30, 2020",
Battleship,"Board game, Strategy",Marmalade Game Studio,Marmalade Game Studio,"July 24, 2019",
Battlesloths,"Party, Action",Invisible Collective,Invisible Collective,"February 27, 2020",
Battlestar Galactica Deadlock,"Strategy, Board game","Black Lab Games, Slitherine",Slitherine Software,"October 8, 2019",
Battlezone: Gold Edition,Shooter,Rebellion Developments,Rebellion Developments,"November 8, 2018",
Battlloon,Party,noname studio,Sony Music Entertainment,"February 28, 2019",
Battojutsu,"Fighting, Party, Action",Kikkawa Keita,Caerux,"December 12, 2019",
Batu Ta Batu,"Puzzle, Party",2Awesome Studio,JP: EastAsiaSoftWW: 2Awesome Studio,"September 4, 2020",
Bayala: The Game,Adventure,Independent Arts Software,EuroVideo Medien,"October 24, 2019",
Bayonetta,Hack and slash,PlatinumGames,Nintendo,"February 16, 2018",
Bayonetta 2,Hack and slash,PlatinumGames,Nintendo,"February 16, 2018",
Bayonetta 3,Hack and slash,PlatinumGames,Nintendo,"October 28, 2022",
BDSM: Big Drunk Satanic Massacre,"Action, Role-playing",Big Way Games,JP: EastAsiaSoftWW: Big Way Games,"October 10, 2019",
BE-A Walker,"Simulation, Arcade, Action",Sonka,Sonka,"February 28, 2020",
Be a Poker Champion! Texas Hold'em,Board game,SilverStarJapan,SilverStar,"May 13, 2021",
Beach Bounce Remastered,Adventure,Dharker Studio,Gamuzumi,"May 6, 2021",
Beach Buggy Racing,"Action, multiplayer, party, racing",Vector Unit,Vector Unit,"September 14, 2017",
Beach Buggy Racing 2: Island Adventure,"Action, arcade, racing, sports",Vector Unit,Vector Unit,"March 17, 2021",
Beach Volleyball Challenge,"Sports, Action, Party",Simplicity Tomasz Dyrak,Simplicity Tomasz Dyrak,"September 24, 2021",
The Bear And The Admiral,"Platformer, Adventure, Action",Jack Boylan,Jack Boylan,"October 7, 2021",
Bear & Breakfast,Adventure,Gummy Cat,Armor Games Studios,2022,
Bear with Me,Point and click adventure,Exordium Games,Exordium Games,"July 9, 2019",
Bear with Me: The Lost Robots,Point and click adventure,Exordium Games,Exordium Games,"July 31, 2019",
Bear's Restaurant,"Adventure, Role-playing, Simulation, Action",Odencat,Odencat,"June 17, 2021",
Beast Breaker,"Arcade, Strategy, Puzzle, Adventure",Vodeo Games,Vodeo Games,"September 23, 2021",
Beast Darling: Kemonomimi Danshi to Himitsu no Ryou,Otome,Caerux,Caerux,"September 27, 2018",
Beast Quest,Action role-playing,Torus Games,Maximum Games,"October 11, 2019",
Beastmaster and Princes: Flower & Snow,Otome,Design Factory,Idea Factory,"May 30, 2019",
Beasts of Maravilla Island,"Indie game, Adventure, Role-playing",Banana Bird Studios,Whitethorn Digital,"June 12, 2021",
Beat Cop,Adventure,Michael Hicks,11 Bit Studios,"March 5, 2019",
Beat Me!,"Action, Fighting, Party",Red Limb Studio,Red Limb Studio,"November 13, 2020",
Beat Rush,"Action, Adventure, Platformer, Music",FuryLion,FuryLion Group,"July 16, 2018",
Beat Them All,"Fighting, Arcade, Action",Pix Arts,Pix Arts,"September 11, 2021",
Beats Runner,"Action, Adventure, Platformer, Music",FuryLion,FuryLion Group,"October 4, 2019",
Beautiful Desolation,Adventure,The Brotherhood,Untold Tales,"May 28, 2021",
Beauty Bounce,Adventure,Dharker Studio,Gamuzumi,"July 8, 2021",
Bedtime Blues,Arcade,Hannmade Studios,Forever Entertainment,"January 17, 2019",
Bee Simulator,Simulation,Varsav Games,JP: Oizumi AmuzioWW: Varsav Games,"November 14, 2019",
BeeFense BeeMastered,"Action, Strategy",ByteRockers Games,ByteRockers Games,"May 31, 2021",
Beekyr Reloaded,"Arcade, Action, Action, Adventure",Akaoni Studio,Akaoni Studio,"June 14, 2018",
Before I Forget,Adventure,Plug In Digital,Plug In Digital,"April 29, 2021",
