Dead to Rights,Namco,Namco,2002-11-25NA,"August 22, 2003",Unreleased,"November 25, 2002"
Def Jam Vendetta,"EA Canada, Syn Sophia",EA Sports BIG,2003-03-31NA,"May 23, 2003",Unreleased,"March 31, 2003"
Def Jam: Fight for NY,"EA Canada, Syn Sophia",EA Games,2004-09-20NA,"October 1, 2004",Unreleased,"September 20, 2004"
Defender•Defender: For All MankindPAL,7 Studios,Midway Games,2002-11-06NA,"March 14, 2003",Unreleased,"November 6, 2002"
Derby Tsuku 3: Derby Uma o Tsukurou!,Smilebit,Sega,2003-12-11JP,Unreleased,"December 11, 2003",Unreleased
Die Hard: Vendetta,Bits Studios,Vivendi Universal Games,2002-11-15NA,"November 19, 2002",Unreleased,"November 15, 2002"
Digimon Rumble Arena 2,Bandai,Bandai,2004-09-06NA,"October 15, 2004","July 29, 2004","September 6, 2004"
Digimon World 4,Bandai,Bandai,2005-01-06JP,Unreleased,"January 6, 2005","June 1, 2005"
Dinotopia: The Sunstone Odyssey,Vicious Cycle Software,TDK Mediactive,2003-07-23NA,Unreleased,Unreleased,"July 23, 2003"
Disney Sports Basketball,Konami,Konami,2002-12-19JP,"August 8, 2003","December 19, 2002","January 13, 2003"
Disney Sports Football,Konami,Konami,2002-12-08NA,Unreleased,"December 12, 2002","December 8, 2002"
Disney Sports Skateboarding,Konami,Konami,2002-09-19JP,"March 7, 2003","September 19, 2002","November 17, 2002"
Disney Sports Soccer•Disney Sports: FootballPAL,Konami,Konami,2002-07-18JP,"February 7, 2003","July 18, 2002","November 17, 2002"
Disney's Extreme Skate Adventure,Toys For Bob,Activision,2003-09-04NA,"September 5, 2003",Unreleased,"September 4, 2003"
Disney's Hide & Sneak,Capcom,Capcom,2003-11-30NA,"March 19, 2004","December 4, 2003","November 30, 2003"
Disney's Magical Mirror Starring Mickey Mouse,Capcom,Nintendo,2002-08-09JP,"September 13, 2002","August 9, 2002","August 11, 2002"
Disney's Party,Neverland Co.,Hudson Soft (Japan)Electronic Arts (Overseas),2002-08-01JP,"October 17, 2003","August 1, 2002","September 16, 2003"
Disney's PK: Out of the Shadows•Disney's Donald Duck: PKPAL,Ubisoft Montreal,Ubisoft,2002-11-29JP,"December 5, 2002","November 29, 2002","December 3, 2002"
Disney's Tarzan: Untamed[15]•Disney's Tarzan: FreeridePAL,Ubisoft Montreal,Ubisoft,2001-11-18NA,"May 3, 2002",Unreleased,"November 18, 2001"
Dokapon DX: Wataru Sekai wa Oni Darake,Asmik Ace Entertainment,Asmik Ace Entertainment,2003-04-10JP,Unreleased,"April 10, 2003",Unreleased
Donald Duck: Goin' Quackers•Donald Duck: Quack AttackPAL,Ubisoft Montreal,Ubisoft,2002-03-25NA,"May 3, 2002",Unreleased,"March 25, 2002"
Donkey Kong Jungle Beat,Nintendo EAD Tokyo,Nintendo,2004-12-16JP,"February 4, 2005","December 16, 2004","March 14, 2005"
Donkey Konga,Namco,Nintendo,2003-12-12JP,"October 15, 2004","December 12, 2003","September 27, 2004"
