Quest Braintainment,ThePharmacy,ThePharmacy,"September 10, 2010 (EU)",,,,
RPG Tsukuru DS,Enterbrain,Enterbrain,"March 11, 2010 (JP)",,,,
RPG Tsukuru DS+: Create the New World,Kadokawa,Kadokawa,"December 15, 2011 (JP)",,,,
The Rub Rabbits!,Sonic Team,Sega,"October 20, 2005 (JP)",,,,
Rubik's World,Two Tribes,The Game Factory,"October 28, 2008 (NA)",,,,
Rudolph the Red-Nosed Reindeer,Glyphic Entertainment,Red Wagon Games,"November 9, 2010 (NA)",,,,
Runaway 2: The Dream of The Turtle,Cyanide,Focus Home Interactive,"November 30, 2007 (PAL)",,,,
Runaway: A Twist of Fate,Pendulo Studios,Dreamcatcher,"May 7, 2010 (PAL)",,,,
Rune Factory: A Fantasy Harvest Moon,Neverland Co.,"Marvelous Entertainment, Natsume, Rising Star Games","August 24, 2006 (JP)",,,,
Rune Factory 2: A Fantasy Harvest Moon,Neverland Co.,"Marvelous Entertainment, Natsume","January 3, 2008 (JP)",,,,
Rune Factory 3: A Fantasy Harvest Moon,Neverland Co.,"Marvelous Entertainment, Natsume","October 22, 2009 (JP)",,,,
Safari Adventures Africa,Conspiracy Entertainment,Neko Entertainment,"November 3, 2009 (NA)",,,,
Safecracker: The Ultimate Puzzle Adventure,JoWooD Productions,DreamCatcher Games,"December 3, 2009 (NA)",,,,
SaGa 2: Hihou Densetsu - Goddess of Destiny,Racjin,Square Enix,"September 17, 2009 (JP)",,,,
SaGa 3 Jikū no Hasha: Shadow or Light,Racjin,Square Enix,"January 6, 2011 (JP)",,,,
The Sagasou: Fushigi na Konchuu no Mori,DreamFactory,D3Publisher,"June 28, 2007 (JP)",,,,
"The Saibanin: 1-tsu no Shinjitsu, 6-tsu no Kotae",WitchCraft,D3 Publisher,"May 21, 2009 (JP)",,,,
Saihai no Yukue,Omega Force,Koei,"October 23, 2008 (JP)",,,,
Saikin Koi Shiteru?,Microvision,D3 Publisher,"July 30, 2009 (JP)",,,,
Saikyou Toudai Shogi DS,Mainichi Communications,Mainichi Communications,"May 10, 2007 (JP)",,,,
Sailor Moon: La Luna Splende,Banpresto/OpenSesame Inc.,Bandai Namco Games,"March 16, 2011 (EU)",,,,
"Saiyuuki: Kinkaku, Ginkaku no Inbou",ThinkArts,D3Publisher,"July 12, 2007 (JP)",,,,
Saka no Gabaibaa-Chan,Beyond Interactive,Tryfirst,"February 12, 2009 (JP)",,,,
Sakana to Asobou! Aquazone DS - Kaisuigyo,GungHo,GungHo,"March 27, 2008 (JP)",,,,
SakaTsuku DS: Touch and Direct,Sega,Sega,"November 20, 2008 (JP)",,,,
SakaTsuku DS: World Challenge 2010,Sega,Sega,"May 27, 2010 (JP)",,,,
Sakura Note: Ima ni Tsunagaru Mirai,Audio Games,Marvelous Entertainment,"November 5, 2009 (JP)",,,,
Sally's Salon,Capcom,Capcom,"November 4, 2008 (NA)",,,,
Salon SuperstarBeauty SalonEU,Crush Digital,505 Games,"December 8, 2009 (NA)",,,,
Sam Power: Footballer,Ubisoft,Ubisoft,"March 13, 2009 (EU)",,,,
Samantha Oups!,Le Caillou,Mindscape,"May 8, 2006 (EU)",,,,
Samantha Swift and the Hidden Roses of Athena,MumboJumbo,Easy Interactive,"July 26, 2010 (NA)",,,,
San Goku Shi DS,Koei,Koei,"February 23, 2006 (JP)",,,,
San Goku Shi DS 2,Koei,Koei,"November 1, 2007 (JP)",,,,
San Goku Shi DS 3,Koei,Koei,"January 28, 2010 (JP)",,,,
San-X Chara Sagashi Land,MTO,MTO,"April 19, 2007 (JP)",,,,
San-X Character Channel: All-Star Daishuugou!,MTO,MTO,"August 28, 2008 (JP)",,,,
San-X Land: Theme Park de Asobou,MTO,MTO,"March 30, 2006 (JP)",,,,
Sands of Destruction,imageepoch,Sega,"September 25, 2008 (JP)",,,,
Sangokushi Taisen DS,Sega,Sega,"January 25, 2007 (JP)",,,,
Sangokushi Taisen Ten,Sega,Sega,"August 7, 2008 (JP)",,,,
Sankei Sports Kanshuu: Wi-Fi Baken Yosou Ryoku Training: Umania 2007 Nendo-ban,Dimple Entertainment,Dimple Entertainment,"November 22, 2007 (JP)",,,,
Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,Gakken,Gakken,"October 18, 2007 (JP)",,,,
Santa Claus is Comin' to Town!,Crave,Crave,"November 8, 2011 (NA)",,,,
Sarah: Keeper of the Unicorn,"Kritzelkratz 3000, Tivola","DreamCatcher Interactive, JoWooD Entertainment","November 19, 2007 (EU)",,,,
Saru Saru DS,mobcast inc.,D3Publisher,"February 19, 2009 (JP)",,,,
