Bust-a-Move 2: Arcade Edition(Puzzle Bobble 2XJP),Taito,Acclaim (US/EU)Taito (JP),"September 24, 1996","August 28, 1996","July 26, 1996"
Bust-a-Move 3(Puzzle Bobble 3JP),TaitoNJK Techno,"NatsumeUS, AcclaimEU, TaitoJP","December 31, 1997",1997,"March 28, 1997"
Can Can Bunny Extra,"Cocktail Soft, Stack",KID,Unreleased,Unreleased,"October 2, 1997"
Can Can Bunny Premiere,"Cocktail Soft, Stack",KID,Unreleased,Unreleased,"April 5, 1996"
Can Can Bunny Premiere 2,"Cocktail Soft, Stack",KID,Unreleased,Unreleased,"December 20, 1996"
Capcom Generation 1,Capcom,Capcom,Unreleased,Unreleased,"August 27, 1998"
Capcom Generation 2,Capcom,Capcom,Unreleased,Unreleased,"September 23, 1998"
Capcom Generation 3,Capcom,Capcom,Unreleased,Unreleased,"October 15, 1998"
Capcom Generation 4,Capcom,Capcom,Unreleased,Unreleased,"November 12, 1998"
Capcom Generation 5 (Street Fighter CollectionNA/EU),Mitchell Corporation,Capcom,Unreleased,Unreleased,"December 3, 1998"
Casper,Funcom,Interplay,"September 27, 1996","September 13, 1996","April 25, 1997"
Cat the Ripper: 13-ninme no Tanteishi,Tonkin House,Tonkin House,Unreleased,Unreleased,"July 18, 1997"
Center Ring Boxing (NA)Victory Boxing (EU)King of Boxing (JP),Victor Entertainment,"Victor Entertainment, JVC Musical Industries",December 1995,December 1995,"October 20, 1995"
Chaos Control,Infogrames,"Virgin Interactive, Infogrames",Unreleased,September 1996,"December 29, 1995"
Chaos Control Remix,Infogrames,Virgin Interactive,Unreleased,Unreleased,"November 22, 1997"
Chaos Seed,Neverland,Taito,Unreleased,Unreleased,"January 29, 1998"
Chibi Maruko-Chan no Taisen Pazurudama,Konami,Konami,Unreleased,Unreleased,"December 15, 1995"
Choro Q Park,Nextech,Takara,Unreleased,Unreleased,"March 26, 1998"
Cho Aniki: Kyukyoku ... Otoko no Gyakushu,Masaya,NCS,Unreleased,Unreleased,"March 29, 1996"
Choujikuu Yousai Macross: Ai Oboete Imasu ka,Scarab,Bandai Visual,Unreleased,Unreleased,"June 6, 1997"
