Anpanman to Touch de Waku Waku Training,Digital Kids,Agatsuma Entertainment,"September 3, 2009 (JP)",,,,
Ant Nation,Konami,Konami,"July 14, 2009 (NA)",,,,
Ao-Don DS: Hanabi no Goku & Hanabi no Takumi,Commseed,Commseed,"June 17, 2009 (JP)",,,,
Apassionata: A Passionate Horse-Show - My Show,B-Alive,RTL Enterprises GmbH,"March 2, 2009 (EU)",,,,
Apathy: Narugami Gakuen Toshi Densetsu Tantei Kyoku,Del,Arc System Works,"October 25, 2007 (JP)",,,,
Apollo Justice: Ace Attorney,Capcom,Capcom,"April 12, 2007 (JP)",,,,
Appare! Shogi Jiisan: Washi to Shoubu ja,Arioka,Success,"November 24, 2005 (JP)",,,,
Aqua Panic!,EKO Software,Ubisoft,"October 6, 2009 (EU)",,,,
Aquarium By DSKokoro ga Uruou Birei Aquarium DS: Tetra - Guppy - AngelfishJP,Destineer,Bold Games,"March 14, 2008 (US)",,,,
Arabians Lost: The Engagement on Desert,Quinrose,Prototype,"September 10, 2009 (KR)",,,,
Aranuri: Badachingudeulkkwa hamkke Mandeuneun Sesang,Samg Games,Samg Games,"August 13, 2010 (KR)",,,,
Arashi no Yoruni,Hyde,TDK Core,"December 22, 2005 (JP)",,,,
Arasuji de Kitaeru Sokumimi no Susume DS,IE Institute,IE Institute,"April 26, 2007 (JP)",,,,
Arasuji de Oboeru Sokudoku no Susume DS,IE Institute,IE Institute,"April 26, 2007 (JP)",,,,
Arctic Tale,Atomic Planet Entertainment,"Destination Software, Zoo Digital Publishing","October 8, 2007 (NA)",,,,
Are You Smarter Than a 5th Grader?,ValuSoft,THQ,"October 12, 2007 (NA)",,,,
Are You Smarter Than a 5th Grader?: Back to School,THQ,THQ,"November 2, 2010 (NA)",,,,
Are You Smarter Than a 5th Grader?: Game Time,THQ,THQ,"October 26, 2009 (NA)",,,,
Are You Smarter Than a 5th Grader?: Make the Grade,THQ,THQ,"October 20, 2008 (NA)",,,,
Arkanoid DS,Taito Corporation,"Square Enix, Taito Corporation","December 6, 2007 (JP)",,,,
Army Men: Soldiers of Misfortune,Zoo Games,Zoo Games,"October 10, 2008 (NA)",,,,
Around the World in 80 Days,PlayV,PlayV,"March 5, 2009 (EU)",,,,
Art Puzzle,Tivola,Tivola,2010 (EU),,,,
Arthur and the Invisibles: The Game,"Étranges Libellules, Neko Entertainment",Atari,"January 9, 2007 (NA)",,,,
Arthur and the Revenge of Maltazard,Ubisoft,Ubisoft,"September 24, 2010 (EU)",,,,
ASH: Archaic Sealed Heat,"Mistwalker, Racjin",Nintendo,"October 4, 2007 (JP)",,,,
Asoberu Eigo: Word Magic,Shingakusha,Shingakusha,"December 25, 2008 (JP)",,,,
Asonde Igo ga Sara ni Tsuyokunaru: Ginsei Igo DS Chuukyuuhen,SilverStar,Electronic Arts,"June 18, 2009 (JP)",,,,
Asonde Igo ga Tsuyoku naru!! Ginsei Igo DS,SilverStar,Electronic Arts,"March 1, 2009 (JP)",,,,
Asonde Shogi ga Tsuyoku naru!! Ginsei Shogi DS,SilverStar,Electronic Arts,"March 1, 2007 (JP)",,,,
Asphalt Urban GT,Gameloft,Ubisoft,"November 17, 2004 (NA)",,,,
Asphalt: Urban GT 2,"Game Source, Virtuous",Ubisoft,"November 14, 2006 (NA)",,,,
Assassin's Creed: Altaïr's Chronicles,Gameloft,Ubisoft,"February 5, 2008 (NA)",,,,
Assassin's Creed II: Discovery,Griptonite Games,Ubisoft,"November 17, 2009 (NA)",,,,
Asterix & Obelix XXL 2 - Mission: Wifix,"Mistic Software, Tate Interactive",Atari,"November 17, 2006 (EU)",,,,
Asterix at the Olympic Games,Étranges Libellules,Atari,"February 29, 2008 (PAL)",,,,
Asterix Brain Trainer,Little Worlds Studio,Atari,"June 27, 2008 (PAL)",,,,
Asterix: These Romans Are Crazy!,Ubisoft,Ubisoft,"October 29, 2009 (PAL)",,,,
Astro Boy: The Video Game,Art,D3 Publisher,"October 20, 2009 (NA)",,,,
Astro Invaders,Zoo Games,Zoo Games,"July 6, 2010 (NA)",,,,
Atama de Do! Kotenko Kotenko,Dorart,Dorart,"March 29, 2007 (JP)",,,,
Atama ga Yoku Naru: The Me no Training,Japan Art Media (JAM),D3Publisher,"December 21, 2006 (JP)",,,,
Atama no Kaiten no Training: Rubik's Cube & Chou Yuumei Puzzle Tachi,Digital Works Entertainment,Digital Works Entertainment,"April 26, 2007 (JP)",,,,
Atama o Kitaete Asobu Taisen Yajirushi Puzzle: Puppyinu Vector One,Megacyber,Megacyber,"June 29, 2006 (JP)",,,,
Atari Greatest Hits Volume 1,Atari,Code Mystics,"November 2, 2010 (NA)",,,,
Atari Greatest Hits Volume 2,Atari,Code Mystics,"March 8, 2011 (NA)",,,,
Atelier Annie: Alchemists of Sera Island,Gust Corporation,Nippon Ichi Software,"March 12, 2009 (NA)",,,,
Atsumare! Power Pro Kun no DS Koushien,Konami,Konami,"August 3, 2006 (JP)",,,,
ATV: Quad Frenzy,Skyworks Technologies,Majesco EntertainmentTHQ,"November 14, 2005 (NA)",,,,
ATV: Quad Kings,Beyond Reality,Storm City Games,"March 2, 2010 (NA)",,,,
ATV: Thunder Ridge Riders / Monster Truck Mayhem,Destination Software,Destination Software,"August 15, 2007 (NA)",,,,
ATV: Wild Ride,Renegade Kid,Destineer,"March 30, 2011 (NA)",,,,
Au pays des PooYoos: Activites d'eveil,Lexis Numerique,Micro Application,"September 17, 2009 (EU)",,,,
Autoescuela Aproueba Conmigo,Freedom Factory Studios,Micronet,"September 21, 2009 (EU)",,,,
Autoescuela Trainer,Firehazard Studio,bhv Software,"October 24, 2010 (EU)",,,,
Avalon Code,Matrix Software,Marvelous InteractiveRising Star GamesXseed Games,"November 1, 2008 (JP)",,,,
Avatar: The Last Airbender,THQ,THQ,"October 10, 2006 (NA)",,,,
Avatar: The Last Airbender – Into the Inferno,THQ,THQ,"October 17, 2008 (PAL)",,,,
