Backyard Baseball '10,Humongous EntertainmentFarSight Studios,Atari,2009-03-31NA,Unreleased,"March 31, 2009",Unreleased,Unreleased
Backyard Football,Humongous Entertainment,Atari,2007-10-23NA,Unreleased,"October 23, 2007",Unreleased,Unreleased
Backyard Football '09,Humongous EntertainmentFarSight Studios,Atari,2008-10-21NA,Unreleased,"October 21, 2008",Unreleased,Unreleased
Backyard Football '10,Humongous EntertainmentFarSight Studios,Atari,2009-10-20NA,Unreleased,"October 20, 2009",Unreleased,Unreleased
Backyard Sports: Rookie Rush,HB StudiosHumongous Entertainment,Atari,2010-10-22NA,Unreleased,"October 22, 2010",Unreleased,Unreleased
Backyard Sports: Sandlot Sluggers,HB StudiosHumongous Entertainment,Atari,2010-05-25NA,Unreleased,"May 25, 2010",Unreleased,Unreleased
Bakugan Battle Brawlers,Now Production,Activision,2009-10-20NA,Unreleased,"October 20, 2009","October 28, 2009","October 23, 2009"
Bakugan: Defenders of the Core,Now ProductionNelvana,Activision,2010-10-25NA,Unreleased,"October 25, 2010","October 29, 2010","October 26, 2010"
Balloon Pop,Dreams,UFO Interactive Games,2008-02-19NA,"September 4, 2008","February 19, 2008",Unreleased,"February 29, 2008"
Balls of Fury,Black Lantern Studios,Destination Software,2007-10-02NA,Unreleased,"October 2, 2007",Unreleased,"October 26, 2007"
Band Hero,NeversoftVicarious Visions,Activision,2009-11-03NA,Unreleased,"November 3, 2009","November 25, 2009","November 6, 2009"
Barbie and the Three Musketeers,Activision,Activision,2009-11-03NA,Unreleased,"November 3, 2009","November 5, 2009","November 13, 2009"
Barbie and her Sisters: Puppy Rescue,Torus Games,Little Orbit,2015-11-03EU,Unreleased,"November 20, 2015",Unreleased,"November 3, 2015"
Barbie as the Island Princess,Human Soft,Activision,2007-10-30NA,Unreleased,"October 30, 2007","December 19, 2007","December 7, 2007"
Barbie: Dreamhouse Party,Torus Games,Little Orbit,2013-11-12EU,Unreleased,"February 14, 2014","November 21, 2013","November 12, 2013"
Barbie: Groom and Glam Pups,Game Machine Studios,THQ,2010-11-16NA,Unreleased,"November 16, 2010","November 19, 2010","November 18, 2010"
Barbie Horse Adventures: Riding Camp,Activision,Activision,2008-10-21NA,Unreleased,"October 21, 2008","November 26, 2008","November 21, 2008"
"Barbie: Jet, Set & Style!",Game Machine Studios,THQ,2011-09-19NA,Unreleased,"September 19, 2011",Unreleased,"September 23, 2011"
Barnyard,Blue Tongue Entertainment,THQ,2006-12-04NA,"April 5, 2007","December 4, 2006","December 7, 2006","February 9, 2007"
Baroque,Sting Entertainment,JP: Sting EntertainmentNA: AtlusEU: Rising Star Games,2008-03-13JP,"March 13, 2008","April 8, 2008",Unreleased,"August 1, 2008"
Baseball Blast!,WayForward Technologies,Take-Two Interactive,2009-09-22NA,Unreleased,"September 22, 2009",Unreleased,Unreleased
Basketball Hall of Fame: Ultimate Hoops Challenge,Collision Studios,Zoo Games,2010-03-30NA,Unreleased,"March 30, 2010",Unreleased,Unreleased
Bass Pro Shops: The Hunt,Piranha Games,XS GamesJack of All Games,2010-06-01NA,Unreleased,"June 1, 2010",Unreleased,Unreleased
Bass Pro Shops: The Hunt – Trophy Showdown,Outdoor Partners,XS Games,2011-10-21NA,Unreleased,"October 21, 2011",Unreleased,Unreleased
Bass Pro Shops: The Strike,Piranha Games,XS GamesPsyclone,2009-09-30NA,Unreleased,"September 30, 2009",Unreleased,Unreleased
Bass Pro Shops: The Strike – Tournament Edition,Piranha Games,XS GamesPsyclone,2009-10-19NA,Unreleased,"October 19, 2009",Unreleased,Unreleased
Batman: The Brave and the Bold – The Videogame,WayForward Technologies,Warner Bros. Interactive Entertainment,2010-09-07NA,Unreleased,"September 7, 2010","September 9, 2010","September 24, 2010"
Battalion Wars 2,Kuju Entertainment,Nintendo,2007-10-29NA,"May 15, 2008","October 29, 2007","March 20, 2007","February 15, 2008"
Battle of Giants: Dinosaurs Strike,Ubisoft Quebec,Ubisoft,2010-11-09NA,Unreleased,"November 9, 2010","November 18, 2010","November 19, 2010"
Battle of the Bands,Planet Moon Studios,THQ,2008-04-21NA,Unreleased,"April 21, 2008","May 29, 2008","May 23, 2008"
Battle Rage: Mech Conflict,Destan Entertainment,Destineer,2008-08-01EU,Unreleased,"February 24, 2009","November 13, 2008","August 1, 2008"
Battle vs. Chess,TopWare Interactive,SouthPeak Games,2013-05-07EU,Unreleased,Unreleased,Unreleased,"May 7, 2013"
Battleship,Magic Pockets,Activision,2012-04-20NA,Unreleased,"April 20, 2012",Unreleased,"May 15, 2012"
Beach Fun Summer Challenge,Sproing Interactive Media,NA: Zoo GamesEU: RTL Games,2009-09-30EU,Unreleased,"June 23, 2010",Unreleased,"September 30, 2009"
Beastly,Visual Impact,NA: Storm City GamesEU: Enjoy Gaming,2011-02-25NA,Unreleased,"February 25, 2011",Unreleased,"August 29, 2011"
Beat the Intro,Mindscape,Mindscape,2010-03-31EU,Unreleased,Unreleased,Unreleased,"March 31, 2010"
The Beatles: Rock Band,Pi Studios,MTV Games,2009-09-09NA,Unreleased,"September 9, 2009","September 9, 2009","September 9, 2009"
Bee Movie Game,Smart Bomb Interactive,Activision,2007-10-30NA,Unreleased,"November 5, 2007","December 5, 2007","November 16, 2007"
Ben 10: Alien Force,Monkey Bar Games,D3 Publisher,2008-10-28NA,Unreleased,"October 28, 2008","December 8, 2008","February 13, 2009"
Ben 10 Alien Force: Vilgax Attacks,Papaya Studio,D3 Publisher,2009-10-27NA,Unreleased,"October 27, 2009","December 3, 2009","February 12, 2010"
Ben 10: Galactic Racing,Monkey Bar Games,D3 Publisher,2011-10-18NA,Unreleased,"October 18, 2011","November 24, 2011","November 25, 2011"
Ben 10: Omniverse,Vicious Cycle Software,D3 Publisher,2012-11-13NA,Unreleased,"November 13, 2012","November 29, 2012","November 30, 2012"
Ben 10: Omniverse 2,High Voltage Software,D3 Publisher,2013-11-05NA,Unreleased,"November 5, 2013","November 28, 2013","November 22, 2013"
Ben 10: Protector of Earth,High Voltage Software,D3 PublisherWB Games,2007-10-30NA,Unreleased,"October 30, 2007","December 4, 2007","November 9, 2007"
Ben 10 Ultimate Alien: Cosmic Destruction,Papaya Studio,D3 Publisher,2010-10-05NA,Unreleased,"October 5, 2010","February 10, 2011","February 11, 2011"
Benjamin Blümchen: Törööö im Zoo,Independent Arts Software,Kiddinx Entertainment,2012-10-12EU,Unreleased,Unreleased,Unreleased,"October 12, 2012"
Bermuda Triangle: Saving the Coral,NorthPole Studio,Storm City Games,2009-11-17NA,Unreleased,"November 17, 2009",Unreleased,"April 29, 2010"
Beyblade: Metal Fusion – Battle Fortress,Hudson Soft,Hudson Soft,2009-11-19JP,"November 19, 2009","November 9, 2010","November 12, 2010","November 12, 2010"
Bibi & Tina: Das Große Reiterfest,Morgen Studios,Kiddinx Entertainment,2011-10-07EU,Unreleased,Unreleased,Unreleased,"October 7, 2011"
Bibi Blocksberg: Das grosse Hexenbesen-Rennen!,Nurogames,Kiddinx Entertainment,2010-08-10EU,Unreleased,Unreleased,Unreleased,"August 10, 2010"
Bibi Blocksberg: Das grosse Hexenbesen-Rennen! 2,Nurogames,Kiddinx Entertainment,2013-10-13EU,Unreleased,Unreleased,Unreleased,"October 13, 2013"
Bienvenue chez les Chtis,Mad Monkey Studio,Mindscape,2008-11-19EU,Unreleased,Unreleased,Unreleased,"November 19, 2008"
Big Beach Sports,HB Studios,THQ,2008-06-24NA,Unreleased,"June 24, 2008","June 26, 2008","June 27, 2008"
Big Beach Sports 2,Jet Black Games,THQ,2010-06-18NA,Unreleased,"June 18, 2010","June 24, 2010","June 24, 2010"
Big Brain Academy: Wii Degree,Nintendo EAD,Nintendo,2007-04-26JP,"April 26, 2007","June 11, 2007","November 8, 2007","July 20, 2007"
Big Buck Hunter Pro,Play Mechanix,Crave games,2010-09-23NA,Unreleased,"September 23, 2010",Unreleased,Unreleased
Big League Sports,Koolhaus Games,Activision,2008-11-11NA,Unreleased,"November 11, 2008","March 4, 2009","February 13, 2009"
Big League Sports: Summer,Koolhaus Games,Activision,2009-06-16NA,Unreleased,"June 16, 2009",Unreleased,Unreleased
Big Time Rush: Dance Party,,NA: GameMill EntertainmentEU: Funbox Media,2012-11-06NA,Unreleased,"November 6, 2012",Unreleased,"October 18, 2013"
Big Town Shoot Out,Performance Designed Products,Performance Designed Products,2011-06-30NA,Unreleased,"June 30, 2011",Unreleased,Unreleased
Bigfoot: Collision Course,DSI Games,Zoo Games,2008-12-02NA,Unreleased,"December 2, 2008",Unreleased,"July 31, 2009"
Bigfoot: King of Crush,Torus Games,Zoo Games,2011-05-31NA,Unreleased,"May 31, 2011",Unreleased,Unreleased
The Biggest Loser,Blitz Games,THQ,2009-10-06NA,Unreleased,"October 6, 2009","January 7, 2010","November 13, 2009"
The Biggest Loser: Challenge,Blitz Games,THQ,2010-11-04NA,Unreleased,"November 4, 2010","November 18, 2010","November 12, 2010"
The Bigs,Blue Castle Games,2K Sports,2007-06-25NA,Unreleased,"June 25, 2007","October 26, 2007","October 26, 2007"
The Bigs 2,Blue Castle Games,2K Sports,2009-07-07NA,Unreleased,"July 7, 2009","August 28, 2009","August 28, 2009"
Billy the Wizard: Rocket Broomstick Racing,Data Design Interactive,NA: Conspiracy EntertainmentPAL: Data Design Interactive,2007-09-21EU,Unreleased,"October 5, 2007","September 27, 2007","September 21, 2007"
Billy's Boot Camp: Wii de Enjoy Diet!,Rocket Company,Rocket Company,2011-04-21JP,"April 21, 2011",Unreleased,Unreleased,Unreleased
Bionicle Heroes,TT Games,Eidos Interactive,2007-04-24NA,Unreleased,"April 24, 2007","May 1, 2007","May 25, 2007"
Birthday Party Bash•It's My Birthday!EU,Cat Daddy Games,2K Play,2009-07-14NA,Unreleased,"July 14, 2009","June 19, 2009","June 26, 2009"
Bit.Trip Complete,Gaijin Games,Aksys Games,2007-06-25NA,Unreleased,"September 13, 2011","March 16, 2012","March 16, 2012"
The Black Eyed Peas Experience,Ubisoft Quebec,Ubisoft,2011-11-08NA,Unreleased,"November 8, 2011","November 11, 2011","November 10, 2011"
"Blast Works: Build, Trade, Destroy",Budcat Creations,Majesco Entertainment,2008-06-10NA,Unreleased,"June 10, 2008",Unreleased,"April 3, 2009"
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest,Ubisoft,2007-03-20NA,Unreleased,"March 20, 2007","March 22, 2007","March 30, 2007"
Bleach: Shattered Blade,Polygon Magic,Sega,2006-12-14JP,"December 14, 2006","October 9, 2007","February 28, 2008","February 29, 2008"
Bleach: Versus Crusade,Treasure,Sega,2008-12-18JP,"December 18, 2008",Unreleased,Unreleased,Unreleased
Block Party,Ivolgamus,Activision,2008-11-11NA,Unreleased,"November 11, 2008",Unreleased,"February 13, 2009"
Bob the Builder: Festival of Fun,Atomic Planet EntertainmentHalch,MastertronicBlast! Entertainment,2009-05-22EU,Unreleased,Unreleased,"July 30, 2009","May 22, 2009"
Bolt,Avalanche Software,Disney Interactive Studios,2008-11-18NA,Unreleased,"November 18, 2008","December 4, 2008","February 13, 2009"
Bomberman Blast,Hudson Soft,Hudson Soft,2008-09-25JP,"September 25, 2008",Unreleased,Unreleased,Unreleased
