AeternoBlade,Action-adventure,Corecell Technology,JP: Corecell TechnologyWW: PQube,"February 1, 2018",[295][296][297][298]
AeternoBlade II,Action-adventure,Corecell Technology,JP: Corecell TechnologyWW: PQube,"October 11, 2019",[299][300][301]
AFL Evolution 2,Sports,Wicked Witch Software,Tru Blu Games,"April 16, 2020",[302][303][304]
Afterparty,Adventure,Night School Studio,Night School Studio,"March 6, 2020",
Afterpulse,Action,Digital Legends,Digital Legends,"March 30, 2021",[305][306][307][308]
Agartha-S,"Action, adventure, puzzle",Mebius,Mebius,"January 31, 2019",[309][310][311]
Agatha Christie – Hercule Poirot: The First Cases,Adventure,Blazing Griffin,Microids,"September 28, 2021",[312][313][314][315][316][317]
Agatha Christie: The ABC Murders,Adventure,Artefacts Studio,Microids,"October 6, 2020",
Agatha Knife,"Adventure, Puzzle",Mango Protocol,Mango Protocol,"April 26, 2018",[318][319][320][321]
Age of Sokoban,"Puzzle, Adventure, Platformer, Arcade",Erik Games,Erik Games,"June 10, 2021",[322][323][324]
Ageless,Platformer,One More Dream Studios,Team17,"July 28, 2020",[325][326][327][328]
Agent A: A Puzzle in Disguise,Puzzle,Yak,Yak,"August 29, 2019",
Ages of Mages: The Last Keeper,Third-person shooter,YFC Games,YFC Games,"May 30, 2019",[329][330][331][332]
Aggelos,Action role-playing,Storybird Games,JP: Arc System WorksWW: PQube,"April 24, 2019",[333][334][335][336][337]
Agony,Survival horror,Madmind Studio,Forever Entertainment,"October 31, 2019",
Aground,"Adventure, Role-playing, Simulation",Fancy Fish Games,Whitethorn Digital,"February 11, 2021",[338][339][340]
Ai Kiss 2,Visual novel,Giga,Entergram,"March 25, 2021",[341]
AI: The Somnium Files,Adventure,Spike Chunsoft,Spike Chunsoft,"September 17, 2019",
AI: The Somnium Files – Nirvana Initiative,Adventure,Spike Chunsoft,Spike Chunsoft,"June 23, 2022",
Aikano: Yukizora no Triangle,Visual novel,Prekano,Entergram,"October 29, 2020",[342]
Ailment,"Action, arcade",BeardyBird Games,Ultimate Games,"May 27, 2020",[343][344][345]
Air,Visual novel,Key,Prototype,"September 9, 2021",
Air Bounce: The Jump 'n' Run Challenge,"Adventure, Racing, Platformer, Action",EpiXR Games,EpiXR,"January 21, 2021",[346][347][348][349]
Air Conflicts: Pacific Carriers,Simulation,Games Farm,JP: H2 InteractiveWW: Kalypso Media,"March 26, 2019",
Air Conflicts: Secret Wars,Simulation,Games Farm,JP: H2 InteractiveWW: Kalypso Media,"March 26, 2019",
Air Hockey,Arcade,Sabec,Sabec,"February 28, 2018",[350][351][352][353]
Air Mail,Simulation,N-Fusion Interactive,N-Fusion Interactive,"June 26, 2018",[354][355][356][357]
Air Missions: Hind,Simulation,3Division,Pikii,"July 30, 2020",[358][359]
Air Racers,"Racing, Arcade, Sports, Simulation",Benjamin Kistler,Kistler Studios,"November 1, 2021",[360][361][362]
Air Stunt Racing,"Arcade, Racing",Pix Arts,Pix Arts,"October 30, 2021",[363][364][365][366]
Airborne Kingdom,Strategy,The Wandering Band,Freedom Games,"November 9, 2021",[367][368][369][370]
Aircraft Evolution,Action,Satur Entertainment,Sometimes You,"July 22, 2020",[371][372][373]
Airfield Mania,Simulation,Sprakelsoft,Sprakelsoft,"March 27, 2019",[374][375][376][377]
Airhead,Puzzle platformer,Octato,HandyGames,TBA,[378]
Airheart: Tales of Broken Wings,"Action, shooter, adventure, simulation",Blindflug Studios,Blindflug Studios,"January 31, 2019",[379]
Airoheart,Action-adventure,Pixel Heart Studio,Soedesco,"September 30, 2022",[380]
Akane,"Action, fighting, shooter",Ludic Studios,Qubic Games,"May 17, 2019",[381][382][383][384][385][386]
Akash: Path of the Five,"Adventure, Simulation, Role-playing",Truant Pixel,Truant Pixel,"September 16, 2019",[387][388][389]
Akatori,Metroidvania,TeamNora Games,HypeTrain Digital,2022,[390]
Akiba's Trip: Hellbound & Debriefed,Action role-playing,Acquire,JP: AcquireWW: Xseed Games,"May 20, 2021",
Akihabara: Feel the Rhythm Remixed,"Music, Puzzle, Arcade, Party",JMJ Interactive,JMJ Interactive,"November 29, 2018",[391][392][393][394][395]
Akihabara Crash! 123 Stage +1,"Puzzle, Action, Strategy",Dorasu,Dorasu,"November 29, 2018",[396][397][398][399][400]
Akinofa,"Action, Arcade",Pixel Lantern,Pixel Lantern,"July 15, 2021",[401][402][403][404]
Akita Oga Mystery Guide: The Frozen Silverbell Flower,Adventure,Happymeal,Flyhigh Works,"December 24, 2020",[405]
Akuto: Showdown,"Party, Arcade, Action, Fighting",Hut 90,QubicGames,"December 26, 2019",[66][406][407]
Alan Wake Remastered,Action-adventure,Remedy Entertainment,Epic Games Publishing,Q4 2022,
Alba: A Wildlife Adventure,Adventure,Ustwo,JP: SunsoftWW: PID Publishing,"June 9, 2021",
Alchemic Cutie,Role-playing,"Vakia, Viridian Software",PM Studios,TBA,[408]
Alchemic Dungeons DX,Roguelike,Q-Cumber Factory,Flyhigh Works,"February 14, 2019",[409][410][411][412]
Alchemist Adventure,"Action, Adventure, Puzzle",Bad Minions,Super.com,"June 10, 2021",[322][413][414]
Alchemist Simulator,"Simulation, Puzzle","Art Games Studio, polyslash",Art Games Studio,"March 11, 2021",[415][416][417]
Alchemist's Castle,"Action, Adventure, Platformer, Puzzle",Kodobur Yazilim,Kodobur Yazilim,"October 13, 2019",[418][419][420][421]
Alchemic Jousts,"Strategy, Action, Puzzle",Lunatic Pixels,Lunatic Pixels,"June 12, 2018",[422][423][424][425]
Alder's Blood,"Adventure, Action, Strategy, Role-playing",Shockwork Games,No Gravity Games,"March 13, 2020",[426][427][428]
Aldred Knight,"Adventure, Platformer, Action",QUByte Interactive,QUByte Interactive,"October 8, 2019",[429][430][431]
Aleste Collection,Shoot 'em up,M2,M2,"December 24, 2020",[432][433][434][435]
Alex Kidd in Miracle World DX,Platformer,Jankenteam,Merge Games,"June 22, 2021",
Alfonzo's Arctic Adventure,"Platformer, Action",Spoony Bard Productions,Limited Run Games,"July 30, 2021",[436][437][438][439]
Alfred Hitchcock – Vertigo,Adventure,Pendulo Studios,Microids,2022,
Alice Gear Aegis CS: Concerto of Simulatrix,Action,Pyramid,Mages,"September 8, 2022",
Alice in the Country of Hearts: Wonderful Black World,Visual novel,Idea Factory,Idea Factory,TBA,[440]
Alice in the Country of Hearts: Wonderful White World,Visual novel,QuinRose,Idea Factory,"September 2, 2021",[441]
Alien Cruise,Adventure,Cotton Game,Orenda,"March 14, 2019",[442][443][444][445]
Alien Escape,Puzzle,Korion,Korion,"July 12, 2019",[222][446][447]
Alien Hominid Invasion,Platformer,The Behemoth,The Behemoth,TBA,[448][449][450]
Alien: Isolation,Survival horror,Creative Assembly,Sega,"December 5, 2019",
Aliens Drive Me Crazy,"Action, Platformer, Arcade",Rebel Twins,Rebel Twins,"October 14, 2021",[451][452][453]
All-Star Fruit Racing,Kart racing,3D Clouds,JP: Circle EntertainmentWW: PQube,"July 13, 2018",[454][455][456][457][458]
All Walls Must Fall,"Action role-playling, strategy",inbetweengames,Ultimate Games,"January 20, 2021",[459][460][461]
The Alliance Alive HD Remastered,Role-playing,Cattle Call,JP: FuRyuWW: NIS America,"October 8, 2019",
Alluris,"Adventure, role-playing",562 Interactive,562 Interactive,"September 24, 2020",[462][463][464]
Almightree: The Last Dreamer,"Adventure, platformer, puzzle","Godspeed Games, Chocoarts",West Coast Software,"December 13, 2018",[465][466][467]
The Almost Gone,Puzzle,Happy Volcano,Playdigious,"June 25, 2020",[468][469][470][471]
Almost There: The Platformer,"Action-adventure, platformer",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"February 21, 2019",[472][473][474][475]
Alone With You,Adventure,Benjamin Rivers,Benjamin Rivers,"July 30, 2021",[476][477][478][479]
Along the Edge,Adventure,Nova-box,Nova-box,"October 15, 2020",[480][481][482]
Aloof,"Fighting, puzzle",ButtonX,Red Deer Games,"October 14, 2021",[483][484][485][486]
Alpaca Ball: Allstars,"Arcade, Sports",Salt Castle Studio,JP: LeofulWW: BadLand Publishing,"October 15, 2020",[487][488]
Alpha,Action,Kaname,Kaname,"April 18, 2019",[489][490][491]
Alphadia Genesis,"Role-playing, adventure, simulation, strategy",Exe Create,Kemco,"August 6, 2020",[25][492][493][494]
Alphadia Genesis 2,"Role-playing, Adventure, Simulation, Strategy",EXE-CREATE,Kemco,"July 1, 2021",[495][496][497][498]
Alphaset by Powgi,"Board game, puzzle, strategy",Lightwood Games,Lightwood Games,"August 27, 2020",[499][500]
Alt-Frequencies,"Adventure, Puzzle, Board game",Accidental Queens,Plug In Digital,"December 10, 2020",[501][502][503]
Alteric,Platformer,Goonswarm,Sometimes You,"March 30, 2018",[504][505][506]
Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Adventure,Neilo,Arc System Works,"December 13, 2018",[329][330][507][508][509]
The Alto Collection,"Endless runner, sandboarding",Team Alto,Snowman,"November 26, 2020",
Aluna: Sentinel of the Shards,"Action, Role-playing, Adventure, Fighting",DigiArt Interactive,DigiArt Interactive,"May 26, 2021",[510][511][512][513]
Alvastia Chronicles,"Adventure, role-playing, simulation, strategy",Exe Create,Kemco,"February 14, 2019",[514][515][516]
Alveole,Puzzle,Emil Ismaylov And Denis Petrov,Sometimes You,"September 1, 2021",[517][518][519]
Alwa's Awakening,Platformer,Elden Pixels,Elden Pixels,"September 27, 2018",[520][521][522][523]
Alwa's Legacy,Platformer,Elden Pixels,Elden Pixels,"September 29, 2020",[524][525][526]
Always Sometimes Monsters,"Adventure, Role-playing",Vagabond Dog,Vagabond Dog,"April 8, 2021",[527][528][529]
Amaekata wa Kanojo Nari ni,Visual novel,Entergram,Entergram,"January 24, 2019",[530][531]
The Amazing American Circus,Business simulnation,Juggler Games,Klabater,"September 16, 2021",[532][533][534][535][536]
Amazing Breaker,"Arcade, Puzzle",Dekovir,Big Way,"October 27, 2021",[537][538][539]
Amazing Brick Breaker,Arcade,Cyberfront Korea,CFK,"November 28, 2019",[540][541][542]
The Amazing Shinsengumi: Heroes in Love,Adventure,D3 Publisher,D3 Publisher,"August 9, 2018",[543][544][545][546]
The Ambassador: Fractured Timelines,"Adventure, role-playing, action",TinyDino Games,The Quantum Astrophysicists Guild,"August 13, 2020",[547][548][549]
Ambition of the Slimes,"Turn-based strategy, role-playing",Altairworks,Flyhigh Works,"December 28, 2017",[550][551][552][553]
America Wild Hunting,"Action, Arcade",Benoit Varasse,Pix Arts,"March 5, 2021",[554][555][556]
American Fugitive,Action role-playing,Fallen Tree Games,JP: TeyonWW: Curve Digital,"May 23, 2019",[557][558][559][560][561][562]
American Ninja Warrior: Challenge,Sports,Gaming Corps Austin,GameMill Entertainment,"March 19, 2019",
Amnesia,Visual novel,Design Factory,Idea Factory,"September 12, 2019",[563][564]
Amnesia Collection,"Survival horror, adventure",Frictional Games,Frictional Games,"September 12, 2019",
Amnesia Later x Crowd,Visual novel,Design Factory,Idea Factory,"October 3, 2019",[563][565]
Amnesia World,Visual novel,Design Factory,Idea Factory,"August 19, 2021",[566]
Amoeba Battle: Microscopic RTS Action,"Strategy, Action",Grab Games,Grab Games,"March 3, 2020",[567][568][569]
Among Pipes,"Edutainment, Puzzle, Board game, Strategy",Prison Games,Prison Games,"March 18, 2021",[107][570][571][572]
Among the Sleep: Enhanced Edition,"Survival horror, Action-adventure",Krillbite Studio,Soedesco,"May 29, 2019",
Among Us,Social deduction,Innersloth,Innersloth,"December 15, 2020",
