J-Stars Victory Vs,Spike Chunsoft,"March 19, 2014","June 26, 2015","June 30, 2015",
Just Dance 2014,Ubisoft Paris,Unreleased,"October 1, 2013","October 8, 2013",M,[citation needed]
Just Dance 2015,Ubisoft Paris,Unreleased,"October 23, 2014","October 21, 2014",M,[citation needed]
Just Dance 2016,Ubisoft Paris,Unreleased,"October 22, 2015","October 20, 2015",M,[citation needed]
Just Dance 2017,Ubisoft Paris,Unreleased,"October 27, 2016","October 25, 2016",M,[citation needed]
Just Dance 2018,Ubisoft Paris,Unreleased,"October 27, 2017","October 24, 2017",M,[citation needed]
Just Dance Kids 2•Just Dance KidsEU/AUS,Land Ho!,Unreleased,"November 4, 2011","October 25, 2011",M,[citation needed]
K-ON! Ho-kago Live!!,Sega,"June 21, 2012",Unreleased,Unreleased,
Kaihou Shoujo SIN,Sega,"December 5, 2013",Unreleased,Unreleased,,[26]
Kamen Rider Battride War,Bandai Namco Games,"March 23, 2013",Unreleased,Unreleased,,[27]
Kamen Rider Battride War Sousei,Bandai Namco Games,"February 25, 2016",Unreleased,Unreleased,,[28]
Kamen Rider Battride War 2,Bandai Namco Games,"June 24, 2014",Unreleased,Unreleased,,[29]
Kamen Rider: SummonRide,Bandai Namco Games,"December 4, 2014",Unreleased,Unreleased,,[30]
Kane & Lynch: Dead Men,IO Interactive,"July 10, 2008","November 23, 2007","November 13, 2007",,[31]
Kane & Lynch 2: Dog Days,IO Interactive,Unreleased,"August 20, 2010","August 17, 2010",,[32]
Karaoke Revolution,Blitz Games,Unreleased,"February 12, 2010","November 24, 2009",,[33]
Karaoke Revolution Presents: American Idol Encore,Blitz Games,Unreleased,Unreleased,"March 4, 2008",,[34]
Karaoke Revolution Presents: American Idol Encore 2,Blitz Games,Unreleased,Unreleased,"November 18, 2008",,[35]
Katamari Forever,Namco Bandai,"July 23, 2009","September 18, 2009","September 22, 2009",,[36]
Katsuragi Misato Houdou Keikaku (app),Bandai Namco Games,"June 6, 2009",Unreleased,Unreleased,,[37]
Karateka,Liquid Entertainment,Unreleased,"February 13, 2013","December 18, 2012",,
Kazoku Keikaku Tumugu Ito,Cyber Front,"October 24, 2013",Unreleased,Unreleased,,[38]
Ken to Mahou to Gakuen Mono. 3 (Class of Heroes 3),Acquire,"October 7, 2010",Unreleased,Unreleased,,[citation needed]
Ketsui: Kizuna Jigoku Tachi Extra,5pb.,"July 25, 2013",Unreleased,Unreleased,,[39]
Kevin Van Dam's Big Bass Challenge,Zoo Games,Unreleased,Unreleased,"June 30, 2011",,[40]
Kick-Ass: The Game,Frozen Codebase,Unreleased,"May 5, 2010","April 29, 2010",,
Kick-Ass 2: The Game,Grasshopper Manufacture,Unreleased,"August 1, 2014",Unreleased,,[citation needed]
KickBeat,Zen Studios,Unreleased,"September 11, 2013","September 3, 2013",,
Killer is Dead,Grasshopper Manufacture,"August 1, 2013","August 27, 2013","August 27, 2013",,[citation needed]
Killing Day,Ubisoft,Unreleased,Unreleased,Unreleased,C,[41]
Killzone 2,Guerrilla Games,Unreleased,"February 25, 2009","February 27, 2009",,[42]
Killzone 3,Guerrilla Games,"February 24, 2011","February 25, 2011","February 22, 2011",3D  SV  M,[43]
Killzone HD,Supermassive Games,Unreleased,Unreleased,"October 23, 2012",,[44]
King's Quest,The Odd Gentlemen,Unreleased,"July 29, 2015","July 28, 2015",,
King Oddball,10tons,Unreleased,Unreleased,"February 3, 2015",,
The King of Fighters XII,SNK Playmore,"July 28, 2009","July 28, 2009","July 28, 2009",,[45]
The King of Fighters XIII,SNK Playmore,"December 1, 2011","November 25, 2011","November 22, 2011",,[46]
Kingdom Hearts HD 1.5 Remix,Square Enix,"March 14, 2013","September 13, 2013","September 10, 2013",,[47]
Kingdom Hearts HD 2.5 Remix,Square Enix,"October 2, 2014","December 5, 2014","December 5, 2014",,[citation needed]
Kingdoms of Amalur: Reckoning,"38 Studios, Big Huge Games",Unreleased,"February 9, 2012","February 7, 2012",,[48]
Kingdom Under Fire II,"Blueside, Phantagram",Unreleased,Unreleased,Unreleased,C,[49]
Kite Fight,Gameshastra,Unreleased,"May 29, 2013",Unreleased,,
Knights Contract,Namco Bandai,"July 7, 2011","February 25, 2011","February 22, 2011",,[50]
Knytt Underground,nifflas,Unreleased,"December 21, 2012","December 18, 2012",,
Koihime Embu,BaseSon,"January 28, 2016",Unreleased,Unreleased,,[51]
Kono Oozora Ni Tsubasa Wo Hirogete Cruise Sign,5pb.,"March 31, 2016",Unreleased,Unreleased,,[52]
Krinkle Krusher,Ilusis Interactive Graphics,Unreleased,"August 5, 2016","April 7, 2015",,
Kung-Fu Live,Virtual Air Guitar,Unreleased,"December 8, 2010","December 7, 2010",E,
Kung Fu Panda,Luxoflux,Unreleased,"June 27, 2008","June 3, 2008",,[53]
Kung Fu Panda 2,THQ,Unreleased,"June 10, 2011","May 24, 2011",,[54]
Kung Fu Panda: Showdown of Legendary Legends,Vicious Cycle Software,Unreleased,"November 27, 2015","December 1, 2015",,[citation needed]
Kung Fu Rabbit,Bulkypix,Unreleased,"August 27, 2014","August 19, 2014",,
Kung Fu Rider,Japan Studio,"October 21, 2010","September 17, 2010","September 17, 2010",M,[citation needed]
Kurayami,Grasshopper Manufacture,Unreleased,Unreleased,Unreleased,C,[55]
L.A. Noire,Team Bondi,"July 7, 2011","May 20, 2011","May 17, 2011",
L@ve Once: Mermaid's Tears,Silicon Studio,"February 24, 2011",Unreleased,Unreleased,,[56]
La Voz Vol. 3,Creat Studios,Unreleased,"November 13, 2015",Unreleased,,
Labyrinth Legends,Creat Studios,Unreleased,"December 19, 2012","December 18, 2012",,
Lair,Factor 5,"October 11, 2007","November 16, 2007","August 30, 2007",,[57]
Landit Bandit,The Bearded Ladies,Unreleased,"June 23, 2010","July 13, 2010",,
Lara Croft and the Guardian of Light,Crystal Dynamics,"September 28, 2010","September 29, 2010","September 28, 2010",,
The Last Guardian,Team Ico,Unreleased,Unreleased,Unreleased,C,[58]
The Last of Us,Naughty Dog,"June 20, 2013","June 14, 2013","June 14, 2013",,[59]
Last Rebellion,Hit Maker,"January 28, 2010","March 26, 2010","February 23, 2010",,[60]
The Last Remnant,Square Enix,Unreleased,Unreleased,Unreleased,C,[61]
Lead and Gold: Gangs of the Wild West,Fatshark,"November 30, 2010","April 22, 2010","May 4, 2010",,
Learning with The PooYoos: Episode 1,Lexis Numérique,Unreleased,Unreleased,"June 2, 2011",,
Learning with The PooYoos: Episode 2,Lexis Numérique,Unreleased,"November 23, 2011","November 22, 2011",,
Legacy of Kain: Dead Sun,Climax Studios,Unreleased,Unreleased,Unreleased,C,[62]
Legendary,Spark Unlimited,Unreleased,"October 31, 2008","November 4, 2008",,[63]
Legend of Kay Anniversary,Kaiko,Unreleased,"July 28, 2015","July 28, 2015",,[64]
Legend of Robots,The Bearded Ladies Consulting,Unreleased,"July 13, 2011",Unreleased,,[65]
Legend of the Guardians: The Owls of Ga'Hoole,Krome Studios,Unreleased,"September 14, 2010","September 14, 2010",,[citation needed]
The Legend of Heroes: Akatsuki no Kiseki,Nihon Falcom,"April 26, 2017",Unreleased,Unreleased,,[66]
The Legend of Heroes: Trails in the Sky Kai HD Edition,Nihon Falcom,"December 13, 2012",Unreleased,Unreleased,,[67]
The Legend of Heroes: Trails in the Sky SC Kai HD Edition,Nihon Falcom,"April 25, 2013",Unreleased,Unreleased,,[68]
The Legend of Heroes: Trails in the Sky the 3rd Kai HD Edition,Nihon Falcom,"June 27, 2013",Unreleased,Unreleased,,[69]
The Legend of Heroes: Trails of Cold Steel,Nihon Falcom,"September 26, 2013","January 29, 2016","December 22, 2015",,[70]
The Legend of Heroes: Trails of Cold Steel II,Nihon Falcom,"September 25, 2014","November 11, 2016","September 6, 2016",,[71]
The Legend of Spyro: Dawn of the Dragon,Étranges Libellules,Unreleased,"November 28, 2008","October 21, 2008",,[72]
Lego Batman: The Videogame,Traveller's Tales,"December 8, 2008","October 10, 2008","September 23, 2008",,[73]
Lego Batman 2: DC Super Heroes,Traveller's Tales,Unreleased,"June 19, 2012","June 22, 2012",,[74]
Lego Batman 3: Beyond Gotham,Traveller's Tales,"November 26, 2014","November 11, 2014","November 14, 2014",,[citation needed]
Lego Dimensions Starter Pack,Traveller's Tales,Unreleased,"September 27, 2015","September 27, 2015",,[75]
Lego Harry Potter: Years 1–4,Traveller's Tales,"April 21, 2011","June 25, 2010","June 29, 2010",,[76]
Lego Harry Potter: Years 5-7,Traveller's Tales,Unreleased,"November 18, 2011","November 11, 2011",,[77]
Lego Indiana Jones: The Original Adventures,Traveller's Tales,Unreleased,"June 6, 2008","June 3, 2008",,[78]
Lego Indiana Jones 2: The Adventure Continues,Traveller's Tales,Unreleased,"November 20, 2009","November 17, 2009",,[79]
Lego Jurassic World,Traveller's Tales,"November 5, 2015","June 30, 2015","June 30, 2015",,[80]
The Lego Movie Videogame,Traveller's Tales,Unreleased,"February 14, 2014","February 14, 2014",,[81]
Lego Lord Of The Rings,Traveller's Tales,Unreleased,"November 23, 2012","November 23, 2012",,[82]
Lego Marvel's Avengers,Traveller's Tales,Unreleased,"January 27, 2016","January 26, 2016",,[83]
Lego Marvel Super Heroes,Traveller's Tales,"January 22, 2015","November 23, 2013","November 23, 2013",,[84]
Lego Pirates of the Caribbean: The Video Game,Traveller's Tales,Unreleased,"May 13, 2011","May 10, 2011",,[85]
Lego Rock Band,Harmonix / Traveller's Tales,Unreleased,"November 27, 2009","November 3, 2009",,[86]
Lego Star Wars: The Complete Saga,Traveller's Tales,"March 27, 2008","November 9, 2007","November 6, 2007",,[87]
Lego Star Wars: The Force Awakens,Traveller's Tales,"October 13, 2016","June 28, 2016","June 28, 2016",,[citation needed]
Lego Star Wars III: The Clone Wars,Traveller's Tales,"February 28, 2011","March 25, 2011","March 22, 2011",,[88]
Lego The Hobbit,Traveller's Tales,Unreleased,"April 11, 2014","April 11, 2014",,[citation needed]
Lemmings,Team17,Unreleased,"March 23, 2007","December 7, 2006",M,[89]
Let's Dance With Mel B,Unknown,Unreleased,"April 24, 2012",Unreleased,,[90]
Le Tour de France,Cyanide Studio,Unreleased,"June 23, 2011","June 23, 2011",,[91]
Le Tour de France 2012,Cyanide Studio,Unreleased,"June 22, 2012","June 22, 2012",,[citation needed]
Le Tour de France 2013,Cyanide Studio,Unreleased,"June 20, 2013","June 20, 2013",,[citation needed]
Le Tour de France 2014,Cyanide Studio,Unreleased,"June 20, 2014","June 20, 2014",,[citation needed]
Leisure Suit Larry: Box Office Bust,Team17,Unreleased,"April 24, 2009","May 5, 2009",,[92]
Level 22,Moving Player,Unreleased,"February 11, 2016","February 11, 2016",,
Life Is Strange,Dontnod Entertainment,"March 3, 2016","January 30, 2015","January 30, 2015",,
Lightning Returns: Final Fantasy XIII,Square Enix,"November 21, 2013","February 14, 2014","February 11, 2014",,[93]
"Lights, Camera, Party!",Frima Studio,Unreleased,"August 29, 2012","August 28, 2012",,
Little League Baseball World Series 2010,Now Production,Unreleased,Unreleased,"July 20, 2010",M,[citation needed]
Limbo,Playdead,"August 4, 2011","July 20, 2011","July 19, 2011",,
Linger in Shadows,Plastic,"December 4, 2008","October 9, 2008","October 9, 2008",,[94]
LittleBigPlanet,Media Molecule,"October 30, 2008","November 5, 2008","October 27, 2008",E,[95]
LittleBigPlanet 2,Media Molecule,"February 10, 2011","January 19, 2011","January 18, 2011",M  E,[96]
LittleBigPlanet 2: Special Edition,Media Molecule,Unreleased,"November 15, 2011","November 15, 2011",M  E,[97]
LittleBigPlanet 3,Sumo Digital,"December 4, 2014","November 26, 2014","November 18, 2014",,[citation needed]
LittleBigPlanet Hub,Media Molecule,Unreleased,Unreleased,Unreleased,C,[citation needed]
LittleBigPlanet Karting,United Front Games,"January 17, 2013","November 7, 2012","November 6, 2012",,[citation needed]
Little Busters! Converted Edition,Key / Prototype,"March 20, 2013",Unreleased,Unreleased,,[citation needed]
LocoRoco Cocoreccho,Japan Studio,"September 20, 2007","September 20, 2007","September 20, 2007",,[98]
Lollipop Chainsaw,Grasshopper Manufacture,"June 14, 2012","June 15, 2012","June 12, 2012",,[citation needed]
London 2012,Sega,Unreleased,"June 29, 2012","June 26, 2012",M,[99]
Lone Survivor: The Director's Cut,superflat games,Unreleased,"September 25, 2013","September 24, 2013",,
The Lord of the Rings: Aragorn's Quest,TT Fusion / Headstrong Games,Unreleased,"October 29, 2010","September 14, 2010",M,[100]
The Lord of the Rings: Conquest,Pandemic Studios,Unreleased,"January 16, 2009","January 13, 2009",,[101]
The Lord of the Rings: War in the North,Snowblind Studios,Unreleased,"November 9, 2011","November 1, 2011",,[102]
The Lord of the Rings: The White Council,EA Redwood Shores,Unreleased,Unreleased,Unreleased,C,[103]
Lords of the Fallen,"Deck13 Interactive, CI Games",Unreleased,Unreleased,Unreleased,C,
Los 40 Principales: Karaoke Party,Le Cortex,Unreleased,"November 14, 2014",Unreleased,,[104]
Lost Dimension,Lancarse,"August 7, 2014","July 28, 2014","July 28, 2015",,[citation needed]
Lost Planet: Extreme Condition,Capcom / K2 LLC,"February 21, 2008","February 29, 2008","February 26, 2008",,[105]
Lost Planet 2,Capcom,"May 20, 2010","May 11, 2010","May 11, 2010",,[106]
Lost Planet 3,Spark Unlimited,"August 29, 2013","August 30, 2013","August 27, 2013",,[107]
Lost: Via Domus,Ubisoft Montreal,Unreleased,"February 29, 2008","February 26, 2008",,[108]
Lucha Libre AAA 2010: Héroes del Ring,Immersion Software & Graphics,Unreleased,Unreleased,"October 12, 2010",,[109]
Luftrausers,Vlambeer,"February 19, 2015","March 19, 2014","March 18, 2014",,
Lumines Supernova,Q Entertainment,"December 18, 2008","February 5, 2009","December 23, 2008",,[110]
Machi-ing Maker 4,D3 Publisher,"December 23, 2011",Unreleased,Unreleased,
Machinarium,Amanita Design,"December 24, 2014","September 6, 2012","October 9, 2012",,
Macross Trial Frontier,Artdink,"February 28, 2010",Unreleased,Unreleased,,[citation needed]
Macross 30: Voices across the Galaxy,Artdink,"February 28, 2013",Unreleased,Unreleased,,[citation needed]
Mad Dog II: The Lost Gold,Digital Leisure,Unreleased,"May 15, 2013","April 16, 2013",,
Mad Dog McCree,Digital Leisure,Unreleased,"January 23, 2013","January 22, 2013",,
Mad Max,Avalanche Software,Unreleased,Unreleased,Unreleased,C,[111]
Mad Riders,Techland,Unreleased,"May 30, 2012","May 29, 2012",,
Madagascar: Escape 2 Africa,Toys For Bob,Unreleased,"November 28, 2008","November 4, 2008",,[112]
Madagascar 3: The Video Game,Toys For Bob,Unreleased,"June 5, 2012","June 5, 2012",,[113]
Madagascar Kartz,Sidhe,Unreleased,"November 6, 2009","October 27, 2009",,[114]
Madden NFL 07,EA Tiburon,"April 26, 2007","July 30, 2007","November 17, 2006",,[115]
Madden NFL 08,EA Tiburon,Unreleased,"October 5, 2007","August 14, 2007",,[116]
Madden NFL 09,EA Tiburon,"September 25, 2008","August 15, 2008","August 12, 2008",,[117]
Madden NFL 10,EA Tiburon,Unreleased,"August 18, 2009","August 14, 2009",,[118]
Madden NFL 11,EA Tiburon,Unreleased,"August 13, 2010","August 10, 2010",,[119]
Madden NFL 12,EA Tiburon,Unreleased,"September 2, 2011","August 30, 2011",,[120]
Madden NFL 13,EA Tiburon,Unreleased,"August 31, 2012","August 28, 2012",,[121]
Madden NFL 15,EA Tiburon,Unreleased,"August 29, 2014","August 26, 2014",,[citation needed]
Madden NFL 16,EA Tiburon,Unreleased,"August 25, 2015","August 25, 2015",,[citation needed]
Madden NFL 17,EA Tiburon,Unreleased,"August 23, 2016","August 23, 2016",,[citation needed]
Madden NFL 25,EA Tiburon,Unreleased,"August 27, 2013","August 27, 2013",,[122]
Madden NFL Arcade,EA Sports,"December 3, 2009","November 26, 2009","November 24, 2009",,
Mafia II,2K Czech,Unreleased,"August 27, 2010","August 24, 2010",,[123]
MAG,Zipper Interactive,Unreleased,"January 29, 2010","January 26, 2010",M,[124]
Magic Orbz,Creat Studios,Unreleased,"January 15, 2009","January 15, 2009",,[125]
Magic: The Gathering – Duels of the Planeswalkers,Stainless Games,Unreleased,"December 22, 2010","November 23, 2010",,
Magic: The Gathering – Duels of the Planeswalkers 2012,Stainless Games,"July 6, 2011","June 15, 2011","June 14, 2011",,
Magic: The Gathering – Duels of the Planeswalkers 2013,Stainless Games,"June 21, 2012","June 20, 2012","June 19, 2012",,
Magic: The Gathering – Duels of the Planeswalkers 2014,Stainless Games,"June 27, 2013","June 26, 2013","June 25, 2013",,
Magical Beat,Arc System Works,"August 5, 2014",Unreleased,Unreleased,,
Magrunner: Dark Pulse,Frogwares,Unreleased,"October 23, 2013","October 22, 2013",,
Magus,Aksys Games,Unreleased,"February 25, 2014","June 4, 2014",,[126]
Mahjong ★ Dream C Club,Tamsoft,"April 5, 2012",Unreleased,Unreleased,,[127]
Mahjong ★ Dream C Club Zero,Tamsoft,"January 27, 2011",Unreleased,Unreleased,,[citation needed]
Mahjong Haoh: Dankyuu Battle 3,NCS,"October 31, 2013",Unreleased,Unreleased,,[128]
Mahjong Kakutou Club,Konami,"November 16, 2006",Unreleased,Unreleased,,[129]
Mahjong Taikai IV,Koei,"November 22, 2006",Unreleased,Unreleased,,[130]
Mahjong Tales: Ancient Wisdom,Creat Studios,Unreleased,"December 23, 2008","January 8, 2009",,[131]
Mahjong World,Recom,"February 26, 2010",Unreleased,Unreleased,,
Mahjong World W,Recom,"April 20, 2015",Unreleased,Unreleased,,
Mainichi Issho,Japan Studio,"November 11, 2006",Unreleased,Unreleased,,[132]
Maji de Watashi ni Koi Shinasai! R,Minato Station,"February 23, 2012",Unreleased,Unreleased,,[133]
Majin and the Forsaken Kingdom,Game Republic,"January 20, 2011","November 26, 2010","November 23, 2010",,[134]
Major League Baseball 2K7,Kush Games,Unreleased,Unreleased,"February 26, 2007",,[135]
Major League Baseball 2K8,Kush Games,Unreleased,Unreleased,"March 4, 2008",,[136]
Major League Baseball 2K9,Visual Concepts,"July 9, 2009",Unreleased,"March 3, 2009",,[137]
Major League Baseball 2K10,Visual Concepts,Unreleased,Unreleased,"March 2, 2010",,[138]
Major League Baseball 2K11,Visual Concepts,Unreleased,Unreleased,"March 8, 2011",,[139]
Major League Baseball 2K12,Visual Concepts,Unreleased,Unreleased,"March 6, 2012",,[140]
Major League Baseball 2K13,Visual Concepts,Unreleased,Unreleased,"March 5, 2013",,[141]
Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita (expansion),Nippon Ichi Software,"September 17, 2009",Unreleased,Unreleased,,[142]
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita (expansion),Nippon Ichi Software,"October 27, 2011",Unreleased,Unreleased,,[143]
Malicious,Alvion,"October 27, 2010","February 8, 2012","July 24, 2012",,
Makai Wars,Nippon Ichi Software,Unreleased,Unreleased,Unreleased,C,[144]
Mamorukun Curse!,Gulti,Unreleased,Unreleased,"July 16, 2013",,
Man vs. Wild,Scientifically Proven,Unreleased,Unreleased,"April 26, 2011",,[145]
Mars,Spiders,Unreleased,Unreleased,Unreleased,C,[146]
Mars: War Logs,Spiders,Unreleased,"August 13, 2013","August 13, 2013",,
Marvel Pinball,Zen Studios,Unreleased,"December 15, 2010","December 14, 2010",,
Marvel Puzzle Quest: Dark Reign,WayForward Technologies,Unreleased,"October 26, 2015","October 16, 2015",,
Marvel Super Hero Squad: Comic Combat,THQ,Unreleased,"November 15, 2011","November 15, 2011",,[citation needed]
Marvel Super Hero Squad: The Infinity Gauntlet,THQ,Unreleased,"November 19, 2010","November 19, 2010",,[citation needed]
Marvel: Ultimate Alliance,Raven Software,"May 17, 2007","March 23, 2007","November 17, 2006",,[147]
Marvel: Ultimate Alliance 2,Vicarious Visions,Unreleased,"September 25, 2009","September 15, 2009",,[148]
Marvel vs. Capcom 3: Fate of Two Worlds,Capcom,"February 17, 2011","February 18, 2011","February 15, 2011",,[149]
Marvel vs. Capcom 2,Backbone Entertainment,"August 13, 2009","August 13, 2009","August 13, 2009",,[150]
"Marvel vs. Capcom Origins (Marvel Super Heroes, Marvel vs. Capcom: Clash of Super Heroes)",Capcom,Unreleased,"October 10, 2012","September 25, 2012",,
Masquerade: The Baubles of Doom,Big Ant Studios,Unreleased,"April 20, 2016","April 19, 2016",,
Mass Effect,BioWare / Electronic Arts,"December 4, 2012","December 4, 2012","December 4, 2012",,[151]
Mass Effect 2,BioWare / Electronic Arts,"June 23, 2011","January 21, 2011","January 18, 2011",,[152]
Mass Effect 3,BioWare / Electronic Arts,"March 15, 2012","March 9, 2012","March 6, 2012",,[153]
Master Reboot,Wales Interactive,Unreleased,"March 5, 2014","March 4, 2014",,
Matt Hazard: Blood Bath and Beyond,Vicious Cycle Software,"February 18, 2010","January 7, 2010","January 7, 2010",,
Max & the Magic Marker: Gold Edition,Press Play,Unreleased,"September 28, 2011","November 1, 2011",,
Max Payne 3,Rockstar Vancouver,"May 18, 2012","May 18, 2012","May 15, 2012",,[154]
Mayhem,Left Field Productions,Unreleased,Unreleased,"March 25, 2011",,[citation needed]
Medal of Honor,EA Los Angeles / EA Digital Illusions CE,Unreleased,"October 14, 2010","October 12, 2010",,[155]
Medal of Honor: Airborne,EA Los Angeles,"December 20, 2007","December 12, 2007","November 19, 2007",,[156]
Medal of Honor: Frontline,EA Los Angeles,Unreleased,"October 15, 2010","October 15, 2010",,[157]
Medal of Honor: Heroes,Team Fusion,Unreleased,Unreleased,Unreleased,C,
Medal of Honor: Warfighter,EA Los Angeles,"October 25, 2012","October 26, 2012","November 15, 2012",,[158]
Medieval Moves: Deadmund's Quest,Zindagi Games,Unreleased,"November 11, 2011","November 11, 2011",M,[citation needed]
Mega Man 9,Inti Creates,"June 24, 2009","September 25, 2008","September 25, 2008",,[159]
Mega Man 10,Inti Creates,"March 9, 2010","March 11, 2010","March 11, 2010",,
Mega Man Universe,Capcom,Unreleased,Unreleased,Unreleased,C,[160]
Megamind: Ultimate Showdown,THQ Australia,Unreleased,"November 2, 2010","November 2, 2010",,[161]
Megazone 23: Aoi Garland,Compile Heart,"September 13, 2007",Unreleased,Unreleased,,[162]
Meikyuu Touro Legasista,Nippon Ichi Software,"March 15, 2012",Unreleased,Unreleased,,[163]
Memories Off: Yubikiri no Kioku,5pb.,"June 27, 2013",Unreleased,Unreleased,,[164]
Memories Off 6 Complete,5pb.,"June 27, 2013",Unreleased,Unreleased,,[165]
Men in Black: Alien Crisis,Activision,Unreleased,"May 22, 2012","May 22, 2012",,[citation needed]
Mercenaries 2: World in Flames,Pandemic Studios,"November 30, 2008","September 5, 2008","August 31, 2008",,[166]
Mercia: Fractured Realms,Lockwood Publishing,Unreleased,Unreleased,"August 31, 2012",,[167]
Mercury Hg,UTV Ignition Entertainment,Unreleased,"September 28, 2011","September 27, 2011",,
Mesmerize: Distort (app),"London Studio, Playlogic Entertainment","December 20, 2007","December 20, 2007","December 20, 2007",E,
Mesmerize: Trace (app),"London Studio, Playlogic Entertainment","December 20, 2007","December 20, 2007","December 20, 2007",E,
Metal Gear Online,Kojima Productions,"July 17, 2008",Unreleased,Unreleased,,[168]
Metal Gear Rising: Revengeance,PlatinumGames,"February 21, 2013","February 21, 2013","February 19, 2013",,[169]
Metal Gear Solid 2: Sons of Liberty HD Edition,Kojima Productions,"December 8, 2011","August 21, 2012","August 21, 2012",,[170]
