Championship Rally,Human Entertainment,Unreleased,HAL Laboratory,Unreleased,1991
Chessmaster,Software Toolworks,Hi Tech Expressions,Nintendo,January 1990,"March 26, 1992"
Chip 'n Dale: Rescue Rangers,Capcom,Capcom,Capcom,June 1990,"December 12, 1991"
Chip 'n Dale: Rescue Rangers 2,Make Software,Capcom,Capcom,January 1994,"September 29, 1994"
Chubby Cherub,TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased
Circus Caper,Advance Communication Company,Toho,Unreleased,July 1990,Unreleased
City Connection,Jaleco,Jaleco,Jaleco,May 1988,1988
Clash at Demonhead,Vic Tokai,Vic Tokai,Unreleased,January 1990,Unreleased
Classic Concentration,Softie,GameTek,Unreleased,September 1990,Unreleased
Cliffhanger,Spidersoft,Sony Imagesoft,Unreleased,November 1993,Unreleased
Clu Clu Land,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","February 15, 1987"
Cobra Command,Data East,Data East,Unreleased,November 1988,Unreleased
Cobra Triangle,Rare,Nintendo,Nintendo,July 1989,"October 25, 1989"
Code Name: Viper,"Arc System Works, Capcom",Capcom,Unreleased,March 1990,Unreleased
Color a Dinosaur,FarSight Studios,Virgin Interactive,Unreleased,July 1993,Unreleased
Commando,Capcom,Capcom,Unreleased,November 1986,Unreleased
Conan: The Mysteries of Time,Eastridge Technology,Mindscape,Unreleased,February 1991,Unreleased
Conflict,Vic Tokai,Vic Tokai,Unreleased,March 1990,Unreleased
Conquest of the Crystal Palace,Quest,Asmik,Unreleased,November 1990,Unreleased
Contra (NA)Probotector (EU),Konami,Konami,Konami,February 1988,"December 28, 1990"
Contra Force,Konami,Konami,Unreleased,September 1992,Unreleased
Cool World,Ocean Software,Ocean Software,Unreleased,June 1993,Unreleased
Cowboy Kid,Pixel,Romstar,Unreleased,January 1992,Unreleased
Crackout,Konami,Unreleased,Palcom Software,Unreleased,1991
Crash 'n the Boys: Street Challenge,Technōs Japan,Technōs Japan,Unreleased,October 1992,Unreleased
Crystalis,SNK,SNK,Unreleased,July 1990,Unreleased
Cyberball,Richard Seaborne,Jaleco,Unreleased,January 1992,Unreleased
Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,Unreleased,December 1989,Unreleased
Dance Aerobics,Human Entertainment,Nintendo,Unreleased,March 1989,Unreleased
Danny Sullivan's Indy Heat,Rare,Tradewest,Tradewest,August 1992,1992
Darkman,Painting by Numbers,Ocean Software,Ocean Software,October 1991,1991
Dash Galaxy in the Alien Asylum,Beam Software,Data East,Unreleased,February 1990,Unreleased
Day Dreamin' Davey,Sculptured Software,HAL America,Unreleased,June 1992,Unreleased
Days of Thunder (1990 video game),Beam Software,Mindscape,Mindscape,October 1990,"April 25, 1991"
Deadly Towers,"Lenar, Tamtex",Brøderbund,Unreleased,September 1987,Unreleased
